c,c_user_agg_count_mean,c_user_agg_count_std,c_user_agg_count_max,c_user_agg_count_median,c_user_agg_amount_mean,c_user_agg_amount_std,c_user_agg_amount_max,c_user_agg_amount_median
22003,1.0,0.0,1,1,21.36,0.0,21.36,21.36
22004,1.0,0.0,1,1,22.85,2.95,25.8,25.8
22007,1.19,0.5,3,1,12.08,11.98,75.73,8.8
22008,1.7,1.14,6,1,34.28,51.17,331.73,17.38
22010,1.17,0.47,3,1,12.38,9.03,47.01,9.37
22012,1.17,0.37,2,1,15.98,4.57,24.25,15.98
22013,1.24,0.68,4,1,19.06,17.62,94.08,14.12
22020,1.22,0.5,3,1,20.73,7.66,40.26,20.26
22021,1.24,0.54,3,1,20.9,14.92,65.56,14.54
22030,1.25,0.43,2,1,23.39,17.62,48.79,30.53
22032,1.0,0.0,1,1,8.42,5.04,19.59,7.65
22034,1.37,0.89,6,1,18.52,15.14,77.31,13.92
22035,1.0,0.0,1,1,15.8,0.0,15.8,15.8
22036,1.43,0.86,7,1,8.67,6.34,44.4,7.3
22040,1.07,0.26,2,1,29.36,23.63,90.4,19.9
22041,1.0,0.0,1,1,1.68,0.0,1.68,1.68
22071,1.18,0.39,2,1,15.04,9.88,37.6,10.0
22100,1.15,0.36,2,1,7.55,4.45,23.18,6.51
22101,1.56,0.79,4,1,6.79,4.55,20.5,4.95
22102,1.93,1.42,10,1,9.28,8.5,70.05,7.68
22103,1.52,0.82,5,1,8.2,5.94,32.45,6.21
22110,1.33,0.62,3,1,5.24,3.28,14.8,4.37
22111,1.65,0.94,5,1,8.84,8.94,69.42,6.6
22120,1.43,0.78,5,1,7.11,5.73,26.8,5.08
22130,1.97,1.75,11,1,5.06,5.28,31.6,3.08
22131,1.6,1.2,4,1,5.66,3.94,10.96,4.49
22132,1.0,0.0,1,1,2.4,1.4,5.33,1.9
22160,2.5,1.5,4,4,7.33,4.87,12.2,12.2
22170,1.2,0.4,2,1,6.65,3.6,14.71,5.3
22171,1.13,0.34,2,1,4.77,3.38,10.47,4.44
22172,1.52,0.76,4,1,5.62,4.98,26.75,4.17
22180,1.25,0.43,2,1,2.77,1.37,5.31,2.5
22190,1.6,1.11,6,1,4.03,4.24,25.17,2.89
22500,1.53,1.6,10,1,17.77,12.78,55.28,15.8
22501,1.0,0.0,1,1,6.67,0.63,7.3,7.3
22503,1.67,0.47,2,2,139.2,91.84,256.0,130.0
22511,1.2,0.4,2,1,8.55,2.13,12.14,7.84
22520,1.0,0.0,1,1,36.0,12.0,48.0,48.0
22600,1.15,0.36,2,1,19.06,9.66,33.92,21.71
22601,1.27,0.44,2,1,14.21,10.3,38.45,11.48
22602,1.0,0.0,1,1,7.52,4.57,13.79,5.75
22603,1.0,0.0,1,1,8.2,5.28,18.16,6.54
22604,1.0,0.0,1,1,8.29,1.3,9.59,9.59
22610,1.0,0.0,1,1,4.11,1.3,6.05,3.99
22620,1.0,0.0,1,1,3.46,0.0,3.46,3.46
22621,1.0,0.0,1,1,3.9,1.05,4.95,4.95
22630,1.36,0.48,2,1,9.8,5.6,20.51,9.21
22631,1.08,0.28,2,1,11.63,4.91,21.71,12.1
22671,1.67,1.05,4,1,21.25,19.17,57.06,14.34
22701,1.33,0.64,4,1,15.2,9.23,37.02,11.95
22702,1.08,0.28,2,1,20.79,12.74,49.46,15.39
22710,1.11,0.31,2,1,15.17,9.96,38.73,11.19
22711,1.17,0.37,2,1,15.54,5.49,24.59,17.98
22712,1.4,0.49,2,1,30.15,10.24,50.3,26.44
22713,1.29,0.59,3,1,54.77,39.27,154.65,50.32
22714,1.67,0.75,3,2,9.71,3.82,16.2,9.61
22715,1.45,0.66,3,1,9.55,5.72,22.58,7.8
22716,1.31,0.46,2,1,7.66,2.87,13.07,6.63
22800,1.0,0.0,1,1,4.65,1.79,6.95,5.05
22801,1.0,0.0,1,1,4.59,0.62,5.21,5.21
22802,1.14,0.35,2,1,6.04,2.75,11.49,5.67
22821,2.0,0.0,2,2,9.17,0.0,9.17,9.17
22830,1.25,0.6,3,1,18.66,16.29,63.36,18.33
22840,1.0,0.0,1,1,8.16,0.36,8.53,8.53
22850,1.0,0.0,1,1,2.68,0.0,2.68,2.68
22851,3.0,0.0,3,3,3.33,0.0,3.33,3.33
22870,1.6,0.8,3,1,28.57,10.33,41.76,30.24
22900,1.0,0.0,1,1,8.46,7.92,19.66,2.97
22901,1.0,0.0,1,1,4.44,0.0,4.44,4.44
22902,1.0,0.0,1,1,9.18,0.0,9.18,9.18
23110,2.45,2.39,19,2,26.89,34.54,244.6,16.0
23112,1.29,0.8,4,1,10.11,4.44,24.0,8.0
23113,1.29,0.55,3,1,17.57,9.67,48.0,15.0
23120,1.24,0.57,3,1,11.87,7.06,27.67,9.85
23121,1.54,0.97,5,1,11.68,8.55,47.42,9.55
23130,1.0,0.0,1,1,13.53,1.04,15.0,12.8
23131,1.23,0.42,2,1,9.81,3.34,16.0,8.0
23132,1.72,1.58,11,1,12.33,9.11,55.0,10.0
23133,2.0,0.0,2,2,31.6,0.0,31.6,31.6
23134,1.46,0.72,4,1,12.22,14.37,91.52,7.06
23135,1.25,0.43,2,1,14.25,5.76,24.0,12.0
23141,1.0,0.0,1,1,9.8,0.0,9.8,9.8
23142,1.0,0.0,1,1,7.3,0.83,7.99,7.78
23150,1.0,0.0,1,1,6.0,0.0,6.0,6.0
