i,i_user_agg_count_mean,i_user_agg_count_std,i_user_agg_count_max,i_user_agg_count_median,i_user_agg_amount_mean,i_user_agg_amount_std,i_user_agg_amount_max,i_user_agg_amount_median
10137010,1.0,0.0,1,1,3.9,0.0,3.9,3.9
10137011,1.0,0.0,1,1,6.0,0.0,6.0,6.0
10137012,1.0,0.0,1,1,6.0,0.0,6.0,6.0
10140002,1.73,0.86,4,2,2.59,1.29,6.0,3.0
10140003,1.0,0.0,1,1,3.5,0.0,3.5,3.5
10140005,1.0,0.0,1,1,10.0,0.0,10.0,10.0
10140006,1.0,0.0,1,1,1.8,0.0,1.8,1.8
10141000,1.0,0.0,1,1,6.0,0.0,6.0,6.0
10141002,2.0,1.0,3,3,26.0,13.0,39.0,39.0
10141004,1.0,0.0,1,1,8.7,0.0,8.7,8.7
10141005,3.0,1.0,4,4,41.4,13.8,55.2,55.2
10141006,4.33,4.71,11,1,73.6,84.57,193.2,13.8
10141007,2.0,1.0,3,3,48.3,34.5,82.8,82.8
10141012,1.5,0.5,2,2,4.35,1.45,5.8,5.8
10141014,1.0,0.0,1,1,1.0,0.0,1.0,1.0
10141019,1.0,0.0,1,1,5.0,0.0,5.0,5.0
10141020,1.0,0.0,1,1,2.9,0.0,2.9,2.9
10141021,1.0,0.0,1,1,3.0,0.0,3.0,3.0
10141023,1.0,0.0,1,1,12.95,3.05,16.0,16.0
10141025,1.4,0.49,2,1,1.26,0.44,1.8,0.9
10141026,1.5,0.5,2,2,2.85,0.95,3.8,3.8
10141030,1.88,1.62,6,1,3.94,3.39,12.6,2.1
10141038,1.71,1.03,4,1,6.43,6.09,21.0,3.0
10141039,1.2,0.4,2,1,3.6,1.2,6.0,3.0
10141040,1.6,0.49,2,2,2.4,0.73,3.0,3.0
10141041,1.0,0.0,1,1,17.0,17.0,51.0,8.5
10141042,1.56,1.57,6,1,3.56,3.1,12.0,2.0
10141044,1.5,0.5,2,2,6.0,2.0,8.0,8.0
10141045,1.0,0.0,1,1,9.0,0.0,9.0,9.0
10141046,1.17,0.37,2,1,14.17,9.4,34.0,8.5
10141047,1.0,0.0,1,1,18.0,0.0,18.0,18.0
10141048,1.0,0.0,1,1,2.8,0.0,2.8,2.8
10141049,1.0,0.0,1,1,2.0,0.0,2.0,2.0
10141056,1.0,0.0,1,1,3.8,0.0,3.8,3.8
10141063,1.0,0.0,1,1,3.0,0.0,3.0,3.0
10141070,1.0,0.0,1,1,2.5,1.5,4.0,4.0
10141071,1.0,0.0,1,1,1.0,0.0,1.0,1.0
10141072,1.0,0.0,1,1,1.0,0.0,1.0,1.0
10141080,2.0,1.0,3,3,7.0,3.5,10.5,10.5
10150003,1.0,0.0,1,1,5.9,0.0,5.9,5.9
10150004,1.5,0.76,3,1,4.25,1.97,7.0,3.5
10150006,1.83,0.37,2,2,6.0,0.0,6.0,6.0
10150007,1.0,0.0,1,1,3.9,0.0,3.9,3.9
10150009,1.0,0.0,1,1,3.8,0.0,3.8,3.8
10150010,2.0,0.0,2,2,7.0,0.0,7.0,7.0
10150012,1.0,0.0,1,1,3.5,0.0,3.5,3.5
10150015,1.0,0.0,1,1,6.0,0.0,6.0,6.0
10150016,1.6,0.8,3,1,5.76,2.86,10.7,3.8
10150017,1.0,0.0,1,1,6.0,0.0,6.0,6.0
10150018,1.0,0.0,1,1,3.5,0.0,3.5,3.5
10150019,1.67,0.94,3,1,5.83,3.3,10.5,3.5
10150020,1.0,0.0,1,1,3.5,0.0,3.5,3.5
10150021,1.0,0.0,1,1,3.5,0.0,3.5,3.5
10150022,1.5,0.5,2,2,5.25,1.75,7.0,7.0
10150023,1.0,0.0,1,1,3.5,0.0,3.5,3.5
10150024,1.0,0.0,1,1,3.5,0.0,3.5,3.5
10150025,1.0,0.0,1,1,4.0,0.0,4.0,4.0
10150026,1.0,0.0,1,1,4.0,0.0,4.0,4.0
10150035,1.0,0.0,1,1,1.0,0.0,1.0,1.0
10150036,1.0,0.0,1,1,2.5,0.0,2.5,2.5
10150037,2.0,0.0,2,2,2.0,0.0,2.0,2.0
10150038,1.0,0.0,1,1,4.0,0.0,4.0,4.0
10150040,1.0,0.0,1,1,4.0,0.0,4.0,4.0
10150041,1.0,0.0,1,1,1.0,0.0,1.0,1.0
10150046,1.0,0.0,1,1,4.9,0.0,4.9,4.9
10150047,1.0,0.0,1,1,4.9,0.0,4.9,4.9
10151001,2.5,1.5,4,4,17.5,10.5,28.0,28.0
10151002,1.78,0.63,3,2,17.33,12.15,42.0,12.0
10152002,1.0,0.0,1,1,5.5,0.0,5.5,5.5
10152007,2.0,0.0,2,2,10.0,0.0,10.0,10.0
10152011,1.5,0.5,2,2,6.0,2.0,8.0,8.0
10152012,1.0,0.0,1,1,4.7,0.0,4.7,4.7
10152013,1.8,1.17,4,1,8.66,5.36,18.8,5.7
10152021,1.0,0.0,1,1,19.8,0.0,19.8,19.8
10152024,1.0,0.0,1,1,5.8,0.0,5.8,5.8
10153004,1.0,0.0,1,1,6.8,0.0,6.8,6.8
10200003,2.0,0.0,2,2,7.6,0.0,7.6,7.6
10200004,2.0,0.0,2,2,7.6,0.0,7.6,7.6
10200006,2.0,0.0,2,2,7.6,0.0,7.6,7.6
10200011,1.0,0.0,1,1,4.5,0.0,4.5,4.5
10200012,1.0,0.0,1,1,3.8,0.0,3.8,3.8
10200019,1.0,0.0,1,1,5.0,0.0,5.0,5.0
10200021,1.0,0.0,1,1,3.2,0.0,3.2,3.2
10200025,1.0,0.0,1,1,4.0,0.0,4.0,4.0
10200034,1.0,0.0,1,1,7.9,0.0,7.9,7.9
10200035,1.0,0.0,1,1,7.9,0.0,7.9,7.9
10200036,1.0,0.0,1,1,7.9,0.0,7.9,7.9
10200038,1.0,0.0,1,1,7.9,0.0,7.9,7.9
10200040,1.0,0.0,1,1,6.8,0.0,6.8,6.8
10200042,1.0,0.0,1,1,6.8,0.0,6.8,6.8
10201000,1.0,0.0,1,1,11.8,0.0,11.8,11.8
10201001,2.0,0.0,2,2,11.0,0.0,11.0,11.0
10201004,1.0,0.0,1,1,11.9,0.0,11.9,11.9
10201006,1.0,0.0,1,1,80.0,0.0,80.0,80.0
10201007,3.0,2.16,6,2,11.07,7.97,22.14,7.38
10201010,1.0,0.0,1,1,4.4,0.0,4.4,4.4
10201014,2.0,0.82,3,2,8.0,3.27,12.0,8.0
10201015,1.0,0.0,1,1,12.9,0.0,12.9,12.9
10201016,3.25,2.28,7,3,23.9,27.68,71.6,12.0
10201021,1.0,0.0,1,1,9.9,0.0,9.9,9.9
10201022,1.0,0.0,1,1,4.0,0.0,4.0,4.0
10201023,1.0,0.0,1,1,4.5,0.0,4.5,4.5
10201029,1.0,0.0,1,1,64.8,0.0,64.8,64.8
10201030,3.33,1.7,5,4,13.67,6.97,20.5,16.4
10202001,1.0,0.0,1,1,5.5,0.0,5.5,5.5
10300011,2.0,0.0,2,2,7.0,0.0,7.0,7.0
10300019,2.0,1.0,3,3,18.0,6.0,24.0,24.0
10300021,1.0,0.0,1,1,2.5,0.0,2.5,2.5
10300026,1.0,0.0,1,1,15.8,0.0,15.8,15.8
10300030,1.0,0.0,1,1,36.0,0.0,36.0,36.0
10300037,1.0,0.0,1,1,7.0,0.0,7.0,7.0
10300042,1.5,0.5,2,2,52.0,44.0,96.0,96.0
10300043,2.0,0.0,2,2,12.0,0.0,12.0,12.0
10300044,1.0,0.0,1,1,9.0,0.0,9.0,9.0
10300052,2.0,0.0,2,2,11.0,0.0,11.0,11.0
10300070,1.0,0.0,1,1,108.0,0.0,108.0,108.0
10309001,2.0,1.41,4,1,6.6,4.67,13.2,3.3
10310001,1.0,0.0,1,1,9.8,0.0,9.8,9.8
10310021,2.0,0.0,2,2,15.8,0.0,15.8,15.8
10312012,3.0,0.0,3,3,23.7,0.0,23.7,23.7
10319004,1.0,0.0,1,1,9.9,0.0,9.9,9.9
10400226,1.0,0.0,1,1,300.0,0.0,300.0,300.0
10401008,1.0,0.0,1,1,1.5,0.0,1.5,1.5
10401025,1.0,0.0,1,1,5.6,0.0,5.6,5.6
10401036,1.0,0.0,1,1,129.0,0.0,129.0,129.0
10401038,1.0,0.0,1,1,198.0,0.0,198.0,198.0
10401051,2.0,0.82,3,2,31.6,12.9,47.4,31.6
10401060,1.0,0.0,1,1,45.0,0.0,45.0,45.0
10401072,1.0,0.0,1,1,9.8,0.0,9.8,9.8
10410004,1.0,0.0,1,1,7.5,0.0,7.5,7.5
10410006,1.0,0.0,1,1,7.9,0.0,7.9,7.9
10411002,1.0,0.0,1,1,22.5,0.0,22.5,22.5
10420015,2.0,0.0,2,2,150.0,0.0,150.0,150.0
10420016,1.5,0.5,2,2,132.0,44.0,176.0,176.0
10420017,2.0,0.0,2,2,176.0,0.0,176.0,176.0
10421006,1.0,0.0,1,1,22.5,0.0,22.5,22.5
10421012,2.0,0.0,2,2,21.0,0.0,21.0,21.0
10421016,2.0,0.0,2,2,70.0,0.0,70.0,70.0
10421024,1.0,0.0,1,1,47.0,0.0,47.0,47.0
10422008,1.0,0.0,1,1,4.9,0.0,4.9,4.9
10422010,1.0,0.0,1,1,3.9,0.0,3.9,3.9
10422011,1.0,0.0,1,1,14.8,0.0,14.8,14.8
10422012,1.5,0.5,2,2,8.7,2.9,11.6,11.6
10435002,1.0,0.0,1,1,13.0,0.0,13.0,13.0
10435004,1.0,0.0,1,1,13.0,0.0,13.0,13.0
10435007,1.0,0.0,1,1,13.0,0.0,13.0,13.0
10435024,1.0,0.0,1,1,9.5,0.0,9.5,9.5
10435031,1.5,0.5,2,2,14.25,4.75,19.0,19.0
10435034,1.0,0.0,1,1,9.5,0.0,9.5,9.5
10435036,1.5,0.5,2,2,19.25,7.75,27.0,27.0
10435037,1.0,0.0,1,1,9.5,0.0,9.5,9.5
10435040,2.0,1.0,3,3,59.95,15.05,75.0,75.0
10439017,1.0,0.0,1,1,26.0,0.0,26.0,26.0
10439019,2.0,0.0,2,2,296.0,0.0,296.0,296.0
10440002,2.0,0.0,2,2,146.0,0.0,146.0,146.0
10440005,1.0,0.0,1,1,158.0,0.0,158.0,158.0
10440006,1.0,0.0,1,1,68.0,0.0,68.0,68.0
10440036,1.0,0.0,1,1,138.0,0.0,138.0,138.0
10440048,1.0,0.0,1,1,125.0,0.0,125.0,125.0
10441009,1.0,0.0,1,1,48.0,0.0,48.0,48.0
10441013,1.0,0.0,1,1,28.0,0.0,28.0,28.0
10441014,1.0,0.0,1,1,38.0,0.0,38.0,38.0
10441016,1.0,0.0,1,1,58.0,0.0,58.0,58.0
10443004,1.0,0.0,1,1,316.0,0.0,316.0,316.0
10450004,1.0,0.0,1,1,99.0,0.0,99.0,99.0
10454002,1.0,0.0,1,1,36.6,0.0,36.6,36.6
10454005,1.0,0.0,1,1,168.0,0.0,168.0,168.0
10454006,1.0,0.0,1,1,59.0,0.0,59.0,59.0
10501053,1.0,0.0,1,1,17.0,0.0,17.0,17.0
10501054,2.5,1.5,4,4,154.0,66.0,220.0,220.0
10501076,1.0,0.0,1,1,140.0,0.0,140.0,140.0
10501079,1.0,0.0,1,1,285.0,95.0,380.0,380.0
10501088,2.0,0.0,2,2,32.0,0.0,32.0,32.0
10501092,1.0,0.0,1,1,23.0,0.0,23.0,23.0
10501093,2.0,0.0,2,2,48.0,0.0,48.0,48.0
10502004,1.0,0.0,1,1,11.0,0.0,11.0,11.0
10502041,2.0,0.0,2,2,20.0,0.0,20.0,20.0
10502042,1.0,0.0,1,1,36.0,0.0,36.0,36.0
10502045,1.0,0.0,1,1,11.0,0.0,11.0,11.0
10502047,1.0,0.0,1,1,11.0,0.0,11.0,11.0
10502059,1.0,0.0,1,1,10.0,0.0,10.0,10.0
10603002,1.0,0.0,1,1,108.0,0.0,108.0,108.0
11000007,1.0,0.0,1,1,11.5,0.0,11.5,11.5
11002005,1.0,0.0,1,1,19.0,0.0,19.0,19.0
11003018,1.0,0.0,1,1,18.0,0.0,18.0,18.0
11004003,1.0,0.0,1,1,2.9,0.0,2.9,2.9
11004019,3.0,0.0,3,3,8.4,0.0,8.4,8.4
11005009,1.0,0.0,1,1,24.5,0.0,24.5,24.5
11005012,1.0,0.0,1,1,30.0,0.0,30.0,30.0
11005015,1.0,0.0,1,1,69.4,0.0,69.4,69.4
11008004,1.0,0.0,1,1,11.7,0.0,11.7,11.7
11010002,1.0,0.0,1,1,3.5,0.0,3.5,3.5
11011001,1.0,0.0,1,1,3.9,0.0,3.9,3.9
11011002,1.0,0.0,1,1,8.8,0.0,8.8,8.8
11011004,1.0,0.0,1,1,7.3,0.0,7.3,7.3
11011015,1.0,0.0,1,1,3.8,0.0,3.8,3.8
11011027,1.0,0.0,1,1,9.9,0.0,9.9,9.9
11011028,1.0,0.0,1,1,9.9,0.0,9.9,9.9
11011030,2.0,0.0,2,2,14.0,0.0,14.0,14.0
11011031,1.0,0.0,1,1,19.9,0.0,19.9,19.9
11011034,1.0,0.0,1,1,9.8,0.0,9.8,9.8
11011035,1.0,0.0,1,1,18.8,0.0,18.8,18.8
11011036,1.0,0.0,1,1,6.1,0.0,6.1,6.1
11011037,1.0,0.0,1,1,4.8,0.0,4.8,4.8
11020004,1.0,0.0,1,1,29.8,0.0,29.8,29.8
11020005,1.0,0.0,1,1,20.9,0.0,20.9,20.9
11020018,1.0,0.0,1,1,31.9,0.0,31.9,31.9
11020021,1.0,0.0,1,1,10.5,0.0,10.5,10.5
11022005,1.0,0.0,1,1,29.9,0.0,29.9,29.9
11022006,1.0,0.0,1,1,29.9,0.0,29.9,29.9
11022016,1.0,0.0,1,1,3.5,0.0,3.5,3.5
11022022,1.5,0.5,2,2,7.95,2.65,10.6,10.6
11022030,1.0,0.0,1,1,9.93,0.05,10.0,9.9
11022037,1.0,0.0,1,1,14.9,0.0,14.9,14.9
11022040,1.0,0.0,1,1,4.9,0.0,4.9,4.9
11022041,1.0,0.0,1,1,9.9,0.0,9.9,9.9
11022065,1.0,0.0,1,1,15.8,0.0,15.8,15.8
11022075,1.0,0.0,1,1,14.8,0.0,14.8,14.8
11022082,1.0,0.0,1,1,12.9,0.0,12.9,12.9
11023002,1.0,0.0,1,1,23.6,0.0,23.6,23.6
11030003,1.0,0.0,1,1,8.0,0.0,8.0,8.0
11030004,1.0,0.0,1,1,5.1,0.0,5.1,5.1
11034002,1.0,0.0,1,1,10.9,0.0,10.9,10.9
11044009,1.0,0.0,1,1,19.6,0.0,19.6,19.6
11046012,1.0,0.0,1,1,2.7,0.0,2.7,2.7
11052002,2.0,0.0,2,2,15.2,0.0,15.2,15.2
11052006,1.0,0.0,1,1,25.5,0.0,25.5,25.5
11052010,1.0,0.0,1,1,34.9,0.0,34.9,34.9
11052012,1.0,0.0,1,1,9.8,0.0,9.8,9.8
11052013,1.0,0.0,1,1,6.4,0.0,6.4,6.4
11052015,1.0,0.0,1,1,5.8,0.0,5.8,5.8
11054001,1.0,0.0,1,1,15.0,0.0,15.0,15.0
11054017,1.0,0.0,1,1,23.9,0.0,23.9,23.9
11054030,1.0,0.0,1,1,26.9,0.0,26.9,26.9
11054033,1.33,0.47,2,1,38.53,13.62,57.8,28.9
11054036,1.0,0.0,1,1,29.9,0.0,29.9,29.9
11054040,1.0,0.0,1,1,33.9,0.0,33.9,33.9
11054044,1.0,0.0,1,1,29.9,0.0,29.9,29.9
11054048,1.0,0.0,1,1,4.8,0.0,4.8,4.8
11054072,1.0,0.0,1,1,16.9,0.0,16.9,16.9
11055005,1.0,0.0,1,1,13.5,0.0,13.5,13.5
11055007,1.0,0.0,1,1,18.0,0.0,18.0,18.0
11055009,1.0,0.0,1,1,13.8,0.0,13.8,13.8
11055011,1.0,0.0,1,1,17.7,0.0,17.7,17.7
11056005,1.0,0.0,1,1,5.6,0.0,5.6,5.6
11056012,1.0,0.0,1,1,5.1,0.0,5.1,5.1
11056017,2.0,1.0,3,3,9.2,4.3,13.5,13.5
11056025,2.0,0.0,2,2,17.2,0.0,17.2,17.2
11056035,1.0,0.0,1,1,35.0,0.0,35.0,35.0
11056046,1.0,0.0,1,1,5.9,0.0,5.9,5.9
11056048,1.0,0.0,1,1,5.0,0.0,5.0,5.0
11056050,1.0,0.0,1,1,10.0,0.0,10.0,10.0
11056054,1.0,0.0,1,1,9.9,0.0,9.9,9.9
11056064,1.0,0.0,1,1,4.5,0.0,4.5,4.5
11056085,1.92,0.95,4,2,3.92,2.6,10.0,3.0
11057000,1.0,0.0,1,1,69.9,0.0,69.9,69.9
11057029,2.0,0.0,2,2,19.8,0.0,19.8,19.8
11057040,1.0,0.0,1,1,21.5,3.97,32.0,20.0
11057049,1.0,0.0,1,1,39.18,14.33,64.0,30.9
11057050,1.0,0.0,1,1,10.9,0.0,10.9,10.9
11057120,1.0,0.0,1,1,35.6,0.0,35.6,35.6
11057222,2.0,0.0,2,2,26.0,0.0,26.0,26.0
11058004,1.0,0.0,1,1,11.8,0.0,11.8,11.8
11058005,1.0,0.0,1,1,25.6,0.0,25.6,25.6
11100045,1.0,0.0,1,1,25.9,0.0,25.9,25.9
11101013,1.0,0.0,1,1,39.8,0.0,39.8,39.8
11101021,1.0,0.0,1,1,5.8,0.0,5.8,5.8
11101024,1.0,0.0,1,1,25.9,0.0,25.9,25.9
11102100,1.0,0.0,1,1,8.5,0.0,8.5,8.5
11104013,1.0,0.0,1,1,25.8,0.0,25.8,25.8
11104026,1.0,0.0,1,1,18.5,0.0,18.5,18.5
11104027,1.0,0.0,1,1,18.5,0.0,18.5,18.5
11104037,1.0,0.0,1,1,22.0,0.0,22.0,22.0
11110004,1.0,0.0,1,1,58.07,47.87,144.0,48.0
11110046,1.0,0.0,1,1,38.0,0.0,38.0,38.0
11110047,1.0,0.0,1,1,53.5,15.5,69.0,69.0
11110050,2.5,0.5,3,3,293.0,131.84,455.0,376.0
11110052,1.0,0.0,1,1,22.3,4.8,29.0,19.9
