c,c_user_all,c_user_2,c_user_3,c_user_4
30353,1,0,1,0
30354,1,0,1,0
30355,2,1,1,0
30356,4,2,1,1
30358,1,1,0,0
30361,1,0,1,0
30362,1,0,0,1
30365,4,1,3,1
30380,244,127,133,129
30393,1,1,0,0
30420,2,0,2,0
30444,9,2,5,2
30445,3,1,1,1
30447,1,1,0,0
30448,2,1,0,1
30451,2,2,0,0
30500,3,3,0,0
30503,2,2,0,0
30504,3,2,2,1
30510,4,2,0,2
30512,2,2,0,0
30514,10,7,1,2
30515,2,1,0,1
30521,1,0,0,1
30522,4,2,3,0
30530,1,0,1,0
30541,3,1,1,1
30551,1,0,0,1
30553,1,0,0,1
30602,2,1,0,1
30634,6,0,5,1
30641,1,0,1,0
30700,2,1,1,0
30701,2,0,1,1
30706,1,1,0,0
30710,5,3,1,1
30723,2,0,2,0
30727,1,0,1,0
30728,1,0,0,1
30800,1,0,0,1
30803,1,0,0,1
30804,2,2,0,0
30812,1,1,0,0
30820,2,0,1,1
30821,6,2,4,0
30822,3,1,2,0
30832,1,0,1,0
30840,1,0,1,0
30903,1,0,1,0
31001,5,1,1,3
31003,3,1,1,2
31004,4,0,1,3
31010,1,1,0,0
31012,1,0,1,0
31017,1,0,0,1
31021,4,2,0,2
31022,1,0,1,0
31023,1,0,0,1
31024,1,0,0,1
31028,1,1,0,0
31029,1,0,1,0
31031,1,1,0,0
31032,1,1,0,0
31042,4,1,1,2
31047,1,0,1,0
31049,2,0,2,0
31131,1,0,1,0
31133,1,0,0,1
31135,1,1,0,0
31137,1,1,0,0
31302,1,1,0,0
31423,1,1,0,0
31425,8,8,0,0
32012,1,0,1,0
32013,1,0,0,1
32030,1,1,0,0
32043,1,0,0,1
32143,6,5,1,0
32203,1,0,1,0
32214,2,1,0,1
32300,1,1,0,0
32314,1,1,0,0
32316,4,2,3,0
32322,2,1,0,1
32323,1,0,0,1
32325,6,4,2,0
32350,1,1,0,0
32352,2,1,1,0
32360,2,0,0,2
32361,1,0,0,1
32368,1,1,0,0
32403,1,1,0,0
32416,9,4,2,3
32736,1,0,1,0
32821,2,0,1,1
32917,10,2,1,8
33001,1,1,0,0
33007,1,1,0,0
33018,1,0,1,0
33060,9,3,3,3
33064,1,0,0,1
34032,1,0,1,0
34038,1,0,0,1
34051,1,0,1,0
34053,1,1,0,0
34100,1,1,0,0
34101,3,1,1,1
34113,1,0,1,0
34121,5,2,0,3
34127,1,1,0,0
34135,1,0,0,1
34200,1,0,0,1
34203,1,0,0,1
34204,8,2,1,5
34207,2,0,0,2
34211,2,1,0,1
34212,2,1,0,1
34220,4,0,1,3
34225,4,0,1,3
34226,1,0,0,1
34240,1,1,0,0
34250,1,1,0,0
34304,1,0,0,1
34333,1,0,0,1
34511,2,0,1,1
34513,2,0,1,1
34641,1,0,1,0
34831,1,1,0,0
34900,1,1,0,0
36010,4,1,1,2
36020,2,1,0,1
36022,1,0,0,1
36023,1,1,0,0
36030,5,1,3,1
36035,1,1,0,0
40000,15,8,6,1
