b,b_user_all,b_user_2,b_user_3,b_user_4
31019.0,1,1,0,0
31027.0,8,3,1,5
31035.0,3,3,0,0
31037.0,1,0,0,1
31059.0,1,1,0,0
31067.0,1,0,0,1
31070.0,1,0,1,0
31094.0,1,0,1,0
31095.0,1,0,1,0
31133.0,3,1,1,1
31148.0,3,3,0,0
31160.0,1,0,1,0
31166.0,1,0,0,1
32006.0,5,3,2,0
32012.0,1,1,0,0
32047.0,1,0,1,0
32053.0,3,0,1,2
32116.0,1,1,0,0
32133.0,9,4,2,3
32169.0,1,1,0,0
32183.0,2,1,1,0
32188.0,4,3,1,0
32196.0,1,1,0,0
32215.0,2,0,2,0
32295.0,10,7,2,1
32322.0,1,0,0,1
32381.0,1,0,0,1
32395.0,1,1,0,0
32402.0,2,0,0,2
33009.0,1,1,0,0
33033.0,2,2,0,0
33046.0,8,3,2,3
33054.0,3,1,1,1
33080.0,1,0,1,0
34001.0,3,0,2,1
34005.0,1,0,0,1
34017.0,1,0,0,1
34020.0,1,1,0,0
34039.0,4,2,0,2
34040.0,1,0,0,1
34048.0,1,1,0,0
34074.0,2,1,1,0
34077.0,1,0,0,1
34079.0,2,0,1,1
34099.0,1,0,0,1
34106.0,1,1,0,0
34111.0,1,0,0,1
34119.0,1,1,0,0
34122.0,4,3,0,1
34129.0,6,1,1,4
34175.0,1,1,0,0
34194.0,1,0,0,1
34195.0,1,0,0,1
34214.0,6,0,1,5
34241.0,1,1,0,0
34384.0,1,0,1,0
34763.0,3,0,0,3
34764.0,3,0,0,3
34801.0,1,0,0,1
34811.0,1,0,1,0
34815.0,1,0,0,1
34818.0,1,1,0,0
34846.0,1,0,1,0
