Longitude,Latitude,AsuLevel_1,RSSI_1,AsuLevel_2,RSSI_2,AsuLevel_3,RSSI_3,AsuLevel_4,RSSI_4,AsuLevel_5,RSSI_5,AsuLevel_6,RSSI_6,AsuLevel_7,RSSI_7,MRTime,IMSI,Position,latitude_1,longitude_1,latitude_2,longitude_2,latitude_3,longitude_3,latitude_4,longitude_4,latitude_5,longitude_5,latitude_6,longitude_6,latitude_7,longitude_7
121.2089638,31.28389679,22,-69,16,-81,16.0,-81.0,13.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,1509264752306.0,460011670515939.06,273,31.289647,121.208284,31.289351,121.219323,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.2089338,31.28381354,23,-67,14,-85,16.0,-81.0,13.0,-87.0,18.0,-77.0,0.0,0.0,0.0,0.0,1509264754445.0,460011670515939.06,260,31.289647,121.208284,31.289351,121.219323,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,0.0,0.0,0.0,0.0
121.208975,31.28374804,25,-63,14,-85,16.0,-81.0,13.0,-87.0,19.0,-75.0,17.0,-79.0,13.0,-87.0,1509264756596.0,460011670515939.06,249,31.289647,121.208284,31.289351,121.219323,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,0.0,0.0
121.20903999999999,31.2836782,27,-59,14,-85,16.0,-81.0,14.0,-85.0,19.0,-75.0,16.0,-81.0,13.0,-87.0,1509264758757.0,460011670515939.06,238,31.289647,121.208284,31.289351,121.219323,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,0.0,0.0
121.20927859999999,31.28355925,28,-57,14,-85,18.0,-77.0,14.0,-85.0,20.0,-73.0,16.0,-81.0,14.0,-85.0,1509264760893.0,460011670515939.06,220,31.289647,121.208284,31.289351,121.219323,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,31.289647,121.208284
121.20927859999999,31.28355925,29,-55,18,-77,14.0,-85.0,20.0,-73.0,16.0,-81.0,14.0,-85.0,0.0,0.0,1509264763042.0,460011670515939.06,220,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,31.289647,121.208284,0.0,0.0
121.2093509,31.28345593,29,-55,18,-77,14.0,-85.0,20.0,-73.0,16.0,-81.0,14.0,-85.0,0.0,0.0,1509264763883.0,460011670515939.06,204,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,31.289647,121.208284,0.0,0.0
121.2093509,31.28345593,29,-55,19,-75,14.0,-85.0,22.0,-69.0,16.0,-81.0,14.0,-85.0,0.0,0.0,1509264764959.0,460011670515939.06,204,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,31.289647,121.208284,0.0,0.0
121.20939820000001,31.28340438,29,-55,19,-75,14.0,-85.0,22.0,-69.0,16.0,-81.0,14.0,-85.0,0.0,0.0,1509264766000.0,460011670515939.06,196,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,31.289647,121.208284,0.0,0.0
121.20939820000001,31.28340438,27,-59,19,-75,14.0,-85.0,22.0,-69.0,16.0,-81.0,14.0,-85.0,0.0,0.0,1509264767114.0,460011670515939.06,196,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,31.289647,121.208284,0.0,0.0
121.2094945,31.28331896,27,-59,19,-75,14.0,-85.0,22.0,-69.0,16.0,-81.0,14.0,-85.0,0.0,0.0,1509264768141.0,460011670515939.06,182,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,31.289647,121.208284,0.0,0.0
121.2094945,31.28331896,24,-65,20,-73,14.0,-85.0,22.0,-69.0,16.0,-81.0,14.0,-85.0,0.0,0.0,1509264769225.0,460011670515939.06,182,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,31.289647,121.208284,0.0,0.0
121.2096235,31.28322493,24,-65,20,-73,14.0,-85.0,22.0,-69.0,16.0,-81.0,14.0,-85.0,0.0,0.0,1509264770291.0,460011670515939.06,168,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,31.289647,121.208284,0.0,0.0
121.2096235,31.28322493,21,-71,20,-73,14.0,-85.0,22.0,-69.0,15.0,-83.0,14.0,-85.0,14.0,-85.0,1509264771365.0,460011670515939.06,168,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,31.289647,121.208284,0.0,0.0
121.20973000000001,31.2831575,21,-71,20,-73,14.0,-85.0,22.0,-69.0,15.0,-83.0,14.0,-85.0,14.0,-85.0,1509264772454.0,460011670515939.06,157,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,31.289647,121.208284,0.0,0.0
121.20973000000001,31.2831575,19,-75,19,-75,14.0,-85.0,21.0,-71.0,15.0,-83.0,13.0,-87.0,14.0,-85.0,1509264773517.0,460011670515939.06,157,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,31.289647,121.208284,0.0,0.0
121.209801,31.283069899999997,19,-75,19,-75,14.0,-85.0,21.0,-71.0,15.0,-83.0,13.0,-87.0,14.0,-85.0,1509264774585.0,460011670515939.06,143,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,31.289647,121.208284,0.0,0.0
121.209801,31.283069899999997,18,-77,19,-75,14.0,-85.0,21.0,-71.0,14.0,-85.0,14.0,-85.0,0.0,0.0,1509264775933.0,460011670515939.06,143,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,0.0,0.0,0.0,0.0
121.20986470000001,31.28299994,18,-77,19,-75,14.0,-85.0,21.0,-71.0,14.0,-85.0,14.0,-85.0,0.0,0.0,1509264776741.0,460011670515939.06,132,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,0.0,0.0,0.0,0.0
