b,b_count_all,b_count_2,b_count_3,b_count_4,b_amount_all,b_amount_2,b_amount_3,b_amount_4
11091.0,1.0,1.0,0.0,0.0,12.5,12.5,0.0,0.0
11094.0,4.0,0.0,1.0,3.0,42.4,0.0,9.5,32.9
11097.0,1.0,1.0,0.0,0.0,19.8,19.8,0.0,0.0
11106.0,3.0,2.0,0.0,1.0,24.9,10.0,0.0,14.9
11107.0,1.0,0.0,0.0,1.0,29.8,0.0,0.0,29.8
11110.0,2.0,1.0,0.0,1.0,41.6,16.6,0.0,25.0
11112.0,2.0,2.0,0.0,0.0,31.0,31.0,0.0,0.0
11114.0,12.0,2.0,8.0,2.0,134.4,20.0,96.9,17.5
11115.0,2.0,1.0,1.0,0.0,51.6,25.8,25.8,0.0
11116.0,2.0,2.0,0.0,0.0,98.0,98.0,0.0,0.0
11119.0,1.0,1.0,0.0,0.0,34.9,34.9,0.0,0.0
11121.0,1.0,0.0,1.0,0.0,27.9,0.0,27.9,0.0
11123.0,11.0,2.0,6.0,3.0,124.80000000000003,23.8,68.30000000000001,32.7
11127.0,1.0,0.0,0.0,1.0,25.9,0.0,0.0,25.9
11128.0,5.0,1.0,2.0,2.0,51.8,15.0,19.4,17.4
11129.0,20.0,11.0,6.0,3.0,325.40000000000003,212.4,65.6,47.4
11130.0,3.0,1.0,1.0,1.0,119.5,26.5,46.5,46.5
11133.0,3.0,1.0,0.0,2.0,29.9,6.5,0.0,23.4
11137.0,1.0,1.0,0.0,0.0,59.0,59.0,0.0,0.0
11140.0,2.0,0.0,0.0,2.0,23.6,0.0,0.0,23.6
11144.0,3.0,1.0,2.0,0.0,207.0,69.0,138.0,0.0
11146.0,1.0,0.0,0.0,1.0,25.9,0.0,0.0,25.9
11148.0,1.0,0.0,0.0,1.0,36.9,0.0,0.0,36.9
11149.0,2.0,0.0,0.0,2.0,20.1,0.0,0.0,20.1
11150.0,2.0,0.0,1.0,1.0,27.3,0.0,7.5,19.8
11151.0,1.0,0.0,0.0,1.0,28.5,0.0,0.0,28.5
11154.0,15.0,5.0,2.0,8.0,163.3,38.5,17.8,107.0
11156.0,5.0,0.0,4.0,1.0,8.0,0.0,4.0,4.0
11159.0,26.0,11.0,4.0,11.0,400.19999999999993,134.0,61.5,204.70000000000002
11164.0,1.0,0.0,1.0,0.0,69.4,0.0,69.4,0.0
11165.0,2.0,0.0,1.0,1.0,14.0,0.0,7.0,7.0
11168.0,1.0,0.0,1.0,0.0,98.0,0.0,98.0,0.0
11201.0,2.0,1.0,0.0,1.0,19.8,9.9,0.0,9.9
11204.0,4.0,2.0,1.0,1.0,135.4,49.6,63.0,22.8
11209.0,2.0,1.0,0.0,1.0,28.700000000000003,15.9,0.0,12.8
