i,i_count_all,i_count_2,i_count_3,i_count_4,i_amount_all,i_amount_2,i_amount_3,i_amount_4
10136000,2.0,2.0,0.0,0.0,15.0,15.0,0.0,0.0
10136001,2.0,1.0,1.0,0.0,7.0,3.5,3.5,0.0
10136004,1.0,1.0,0.0,0.0,64.8,64.8,0.0,0.0
10136005,1.0,1.0,0.0,0.0,22.5,22.5,0.0,0.0
10136006,2.0,2.0,0.0,0.0,7.6,7.6,0.0,0.0
10136008,8.0,1.0,3.0,4.0,30.400000000000002,3.8,11.399999999999999,15.2
10137009,6.0,2.0,3.0,1.0,24.0,8.0,12.0,4.0
10137010,1.0,0.0,0.0,1.0,3.9,0.0,0.0,3.9
10137011,3.0,0.0,2.0,1.0,18.0,0.0,12.0,6.0
10137012,4.0,0.0,2.0,2.0,24.0,0.0,12.0,12.0
10140002,19.0,6.0,8.0,5.0,28.5,9.0,12.0,7.5
10140003,1.0,0.0,0.0,1.0,3.5,0.0,0.0,3.5
10140005,1.0,0.0,1.0,0.0,10.0,0.0,10.0,0.0
10140006,2.0,0.0,0.0,2.0,3.6,0.0,0.0,3.6
10141000,2.0,1.0,1.0,0.0,12.0,6.0,6.0,0.0
10141002,4.0,3.0,0.0,1.0,52.0,39.0,0.0,13.0
10141004,1.0,0.0,1.0,0.0,8.7,0.0,8.7,0.0
10141005,6.0,2.0,2.0,2.0,82.8,27.6,27.6,27.6
10141006,16.0,0.0,0.0,16.0,220.80000000000007,0.0,0.0,220.80000000000007
10141007,7.0,0.0,1.0,6.0,96.6,0.0,13.8,82.8
10141012,3.0,1.0,0.0,2.0,8.7,2.9,0.0,5.8
10141014,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
10141019,2.0,1.0,0.0,1.0,10.0,5.0,0.0,5.0
10141020,1.0,1.0,0.0,0.0,2.9,2.9,0.0,0.0
10141021,2.0,0.0,2.0,0.0,6.0,0.0,6.0,0.0
10141023,2.0,1.0,0.0,1.0,25.9,16.0,0.0,9.9
10141025,7.0,2.0,3.0,2.0,6.300000000000001,1.8,2.7,1.8
10141026,3.0,0.0,0.0,3.0,5.699999999999999,0.0,0.0,5.699999999999999
10141030,15.0,5.0,3.0,7.0,31.50000000000001,10.5,6.300000000000001,14.7
10141038,15.0,7.0,4.0,4.0,45.0,21.0,12.0,12.0
10141039,6.0,1.0,1.0,4.0,18.0,3.0,3.0,12.0
10141040,8.0,2.0,6.0,0.0,12.0,3.0,9.0,0.0
