i,i_agg_user_max,i_agg_user_max_median,i_agg_user_max_mean,i_agg_user_max_std
11301095,1,0,0.33,0.47
11301134,1,0,0.33,0.47
11302000,1,0,0.33,0.47
11302016,1,0,0.33,0.47
11302019,1,0,0.33,0.47
11302024,1,0,0.33,0.47
11302032,2,0,0.67,0.94
11302034,1,0,0.33,0.47
11303020,1,0,0.33,0.47
11303035,1,0,0.33,0.47
11303039,1,0,0.33,0.47
11303051,1,0,0.33,0.47
11303055,1,0,0.33,0.47
11303074,1,0,0.33,0.47
11303075,2,0,0.67,0.94
11303076,1,0,0.33,0.47
11303078,1,0,0.33,0.47
11303079,1,0,0.33,0.47
11303084,1,0,0.33,0.47
11303088,1,0,0.33,0.47
11303098,1,0,0.33,0.47
11303111,1,0,0.33,0.47
11303131,1,0,0.33,0.47
11303134,1,0,0.33,0.47
11303137,1,0,0.33,0.47
11303144,1,0,0.33,0.47
11303159,1,0,0.33,0.47
11303196,1,0,0.33,0.47
11304010,1,0,0.33,0.47
11304015,1,0,0.33,0.47
11304018,1,0,0.33,0.47
11304032,1,0,0.33,0.47
11304037,1,0,0.33,0.47
11305010,1,0,0.33,0.47
11305014,1,0,0.33,0.47
11305016,1,0,0.33,0.47
11311002,1,0,0.33,0.47
11311015,1,0,0.33,0.47
11313006,1,0,0.33,0.47
11400035,1,0,0.33,0.47
11500014,1,0,0.33,0.47
11500027,2,0,0.67,0.94
11500029,1,0,0.33,0.47
11500031,1,1,0.67,0.47
11500065,1,1,0.67,0.47
11500067,1,0,0.33,0.47
11500071,1,1,0.67,0.47
11500073,1,0,0.33,0.47
11500076,1,0,0.33,0.47
11500077,1,0,0.33,0.47
11500078,1,0,0.33,0.47
11500079,1,0,0.33,0.47
11500080,1,0,0.33,0.47
11500091,1,1,0.67,0.47
11500093,1,0,0.33,0.47
11500094,1,0,0.33,0.47
11500095,1,0,0.33,0.47
11500101,1,0,0.33,0.47
11500113,1,0,0.33,0.47
11500119,1,0,0.33,0.47
11500123,1,0,0.33,0.47
11500128,1,0,0.33,0.47
11500134,1,0,0.33,0.47
11500136,1,0,0.33,0.47
11500144,1,0,0.33,0.47
11500151,1,0,0.33,0.47
11500161,2,0,0.67,0.94
11500195,1,0,0.33,0.47
11501012,1,0,0.33,0.47
11501023,1,0,0.33,0.47
11501030,1,0,0.33,0.47
11501037,1,0,0.33,0.47
11501048,1,0,0.33,0.47
11501052,1,0,0.33,0.47
11501061,1,0,0.33,0.47
11501064,1,0,0.33,0.47
11501065,1,0,0.33,0.47
11501070,1,0,0.33,0.47
11501077,1,1,0.67,0.47
11501090,1,1,0.67,0.47
11501115,1,0,0.33,0.47
11501116,2,0,0.67,0.94
11501132,1,0,0.33,0.47
11501142,1,0,0.33,0.47
11501147,2,0,0.67,0.94
11502024,1,1,0.67,0.47
11502030,1,0,0.33,0.47
11502035,1,0,0.33,0.47
11502036,1,0,0.33,0.47
11502049,1,0,0.33,0.47
11503002,1,0,0.33,0.47
11504011,1,0,0.33,0.47
11504023,1,0,0.33,0.47
11504031,1,0,0.33,0.47
11506002,1,0,0.33,0.47
11511031,1,1,0.67,0.47
11511051,1,0,0.33,0.47
11511086,1,1,0.67,0.47
11521018,1,0,0.33,0.47
11521063,1,0,0.33,0.47
11521066,1,1,0.67,0.47
11522004,1,0,0.33,0.47
11522010,1,0,0.33,0.47
11522023,1,0,0.33,0.47
11522025,4,0,1.33,1.89
11530008,1,0,0.33,0.47
11531010,1,0,0.33,0.47
11531011,1,0,0.33,0.47
11531017,1,0,0.33,0.47
11531029,1,0,0.33,0.47
11531047,5,0,1.67,2.36
11531048,2,0,0.67,0.94
11531053,2,0,0.67,0.94
11532006,1,0,0.33,0.47
11532011,6,4,3.33,2.49
11532018,1,0,0.33,0.47
11532023,1,0,0.33,0.47
11532036,2,1,1.0,0.82
11532037,2,0,0.67,0.94
11532038,4,0,1.33,1.89
11532039,1,0,0.33,0.47
11532042,2,0,0.67,0.94
11532044,1,0,0.33,0.47
11533006,1,0,0.33,0.47
11533011,1,0,0.33,0.47
11533012,1,0,0.33,0.47
11533016,2,1,1.0,0.82
11533017,1,0,0.33,0.47
11533029,1,1,0.67,0.47
11533034,1,0,0.33,0.47
11533041,1,0,0.33,0.47
11533045,1,0,0.33,0.47
11533061,1,0,0.33,0.47
11540000,2,0,0.67,0.94
14000000,1,0,0.33,0.47
14000001,1,1,0.67,0.47
14000002,2,1,1.0,0.82
14000004,1,1,0.67,0.47
14000005,2,1,1.0,0.82
14000006,1,1,0.67,0.47
14000008,1,0,0.33,0.47
14000009,1,0,0.33,0.47
14000010,3,0,1.0,1.41
14000011,2,1,1.0,0.82
14001019,1,0,0.33,0.47
14002008,1,0,0.33,0.47
14010001,1,0,0.33,0.47
14010008,1,1,0.67,0.47
14010011,1,0,0.33,0.47
14010012,3,2,1.67,1.25
14010017,1,0,0.33,0.47
14012004,1,0,0.33,0.47
14013009,2,0,0.67,0.94
14013010,2,1,1.0,0.82
14013011,2,1,1.0,0.82
14014012,1,0,0.33,0.47
14014014,1,0,0.33,0.47
14014027,1,0,0.33,0.47
14014037,1,0,0.33,0.47
14015003,1,0,0.33,0.47
14015004,1,0,0.33,0.47
14015063,1,0,0.33,0.47
14015065,2,0,0.67,0.94
14015066,1,0,0.33,0.47
14015090,1,0,0.33,0.47
14020002,2,0,0.67,0.94
14020003,1,1,0.67,0.47
14021006,1,0,0.33,0.47
14021007,3,0,1.0,1.41
14021008,1,1,0.67,0.47
14021027,1,0,0.33,0.47
14021045,1,0,0.33,0.47
14022003,1,0,0.33,0.47
14022008,1,0,0.33,0.47
14022010,1,0,0.33,0.47
14031005,1,0,0.33,0.47
14031006,1,0,0.33,0.47
14031010,1,0,0.33,0.47
14031031,1,0,0.33,0.47
14032001,1,0,0.33,0.47
14032025,1,0,0.33,0.47
14033016,1,1,0.67,0.47
14033044,1,0,0.33,0.47
14033046,3,0,1.0,1.41
14033048,1,1,0.67,0.47
14033050,2,2,1.33,0.94
14033054,1,0,0.33,0.47
14033055,2,0,0.67,0.94
14034007,1,0,0.33,0.47
14034009,1,0,0.33,0.47
14034016,1,0,0.33,0.47
14034017,2,1,1.0,0.82
14040008,1,0,0.33,0.47
14040009,1,0,0.33,0.47
14040016,2,1,1.0,0.82
14040018,1,0,0.33,0.47
14041002,1,0,0.33,0.47
14042001,1,0,0.33,0.47
14043011,1,0,0.33,0.47
14043012,1,0,0.33,0.47
14043017,1,0,0.33,0.47
14043022,1,0,0.33,0.47
14043027,1,0,0.33,0.47
14050013,1,0,0.33,0.47
14050020,1,0,0.33,0.47
14050025,1,1,0.67,0.47
14050026,2,1,1.0,0.82
14050045,1,0,0.33,0.47
14051004,1,1,0.67,0.47
14052003,1,0,0.33,0.47
14052005,1,0,0.33,0.47
14052007,1,1,0.67,0.47
14052015,1,0,0.33,0.47
14052027,1,0,0.33,0.47
14052029,2,0,0.67,0.94
14052030,1,0,0.33,0.47
14052035,1,0,0.33,0.47
14054004,1,0,0.33,0.47
14054007,1,0,0.33,0.47
14054008,1,0,0.33,0.47
14054012,2,0,0.67,0.94
14054013,2,0,0.67,0.94
14054014,3,1,1.33,1.25
14054020,1,0,0.33,0.47
14054030,1,0,0.33,0.47
14054072,1,1,0.67,0.47
14054075,1,1,0.67,0.47
14060002,2,1,1.0,0.82
14060003,1,0,0.33,0.47
14060006,2,0,0.67,0.94
14061005,1,0,0.33,0.47
14063000,1,0,0.33,0.47
14063003,4,0,1.33,1.89
14064006,1,1,0.67,0.47
14070003,1,0,0.33,0.47
14070016,1,0,0.33,0.47
14070032,1,0,0.33,0.47
14071000,2,0,0.67,0.94
14072008,1,0,0.33,0.47
14072009,1,0,0.33,0.47
14072013,1,0,0.33,0.47
14073006,1,0,0.33,0.47
14073007,1,0,0.33,0.47
14073008,1,0,0.33,0.47
14073009,1,0,0.33,0.47
14073011,1,0,0.33,0.47
14073019,1,0,0.33,0.47
14073020,1,0,0.33,0.47
14073041,3,0,1.0,1.41
14074021,1,0,0.33,0.47
14074024,1,0,0.33,0.47
14074054,1,0,0.33,0.47
14074059,1,0,0.33,0.47
14074061,1,0,0.33,0.47
14075007,1,0,0.33,0.47
14075011,1,0,0.33,0.47
14075012,1,1,0.67,0.47
14075022,1,0,0.33,0.47
14076000,1,0,0.33,0.47
14076009,5,4,3.0,2.16
14076010,1,0,0.33,0.47
14076012,4,3,2.33,1.7
14076016,1,0,0.33,0.47
14076018,1,0,0.33,0.47
14076019,3,0,1.0,1.41
14076040,1,0,0.33,0.47
14076041,1,0,0.33,0.47
14077014,1,0,0.33,0.47
14078000,1,0,0.33,0.47
14079027,1,0,0.33,0.47
14079028,1,0,0.33,0.47
14079030,1,0,0.33,0.47
14080000,1,0,0.33,0.47
14080001,1,0,0.33,0.47
14080016,2,0,0.67,0.94
14080019,1,1,0.67,0.47
14080020,2,1,1.0,0.82
14080021,1,0,0.33,0.47
14080031,1,1,0.67,0.47
14081006,1,1,0.67,0.47
14081010,1,0,0.33,0.47
14081030,2,0,0.67,0.94
14082000,1,0,0.33,0.47
14082002,1,0,0.33,0.47
14082011,1,0,0.33,0.47
14082015,1,0,0.33,0.47
14082017,2,1,1.0,0.82
14082018,2,2,1.33,0.94
14082021,1,0,0.33,0.47
14082022,2,1,1.0,0.82
14082023,2,0,0.67,0.94
14082024,2,1,1.0,0.82
14082026,2,0,0.67,0.94
14082028,1,1,0.67,0.47
14082037,1,0,0.33,0.47
14082038,1,0,0.33,0.47
14083000,1,0,0.33,0.47
14083002,1,1,0.67,0.47
14083004,2,1,1.0,0.82
14084003,2,0,0.67,0.94
14090000,2,0,0.67,0.94
14090003,1,0,0.33,0.47
14090005,1,0,0.33,0.47
14090006,1,0,0.33,0.47
14090008,1,0,0.33,0.47
14090009,2,1,1.0,0.82
14090013,1,0,0.33,0.47
14090018,4,1,1.67,1.7
14090019,1,1,0.67,0.47
14090020,2,0,0.67,0.94
14090021,2,1,1.0,0.82
14090033,2,1,1.0,0.82
14090040,1,0,0.33,0.47
14090041,1,0,0.33,0.47
14090042,1,1,0.67,0.47
14091000,2,0,0.67,0.94
14091001,1,0,0.33,0.47
14091004,1,0,0.33,0.47
14091005,1,0,0.33,0.47
14091006,1,0,0.33,0.47
14091007,4,2,2.0,1.63
14091009,1,0,0.33,0.47
14091012,1,1,0.67,0.47
14091021,1,1,0.67,0.47
14091022,1,1,0.67,0.47
14091025,1,0,0.33,0.47
14091027,2,1,1.0,0.82
14091028,2,0,0.67,0.94
14091046,1,1,0.67,0.47
14091047,3,0,1.0,1.41
14091073,3,1,1.33,1.25
14091074,1,0,0.33,0.47
14091075,1,0,0.33,0.47
14091077,2,1,1.0,0.82
14091079,2,1,1.0,0.82
14091090,2,0,0.67,0.94
14091091,2,0,0.67,0.94
14091093,1,0,0.33,0.47
14092002,1,0,0.33,0.47
14092007,2,0,0.67,0.94
14092010,1,0,0.33,0.47
14092013,1,0,0.33,0.47
14092014,1,1,0.67,0.47
14092015,2,0,0.67,0.94
14092016,1,1,0.67,0.47
14092017,1,0,0.33,0.47
14092021,2,1,1.0,0.82
14092022,1,0,0.33,0.47
14092023,1,0,0.33,0.47
14092025,1,0,0.33,0.47
14092026,1,0,0.33,0.47
14092039,1,0,0.33,0.47
14092042,1,0,0.33,0.47
14092043,1,0,0.33,0.47
14092044,1,0,0.33,0.47
14092056,1,0,0.33,0.47
14092057,2,0,0.67,0.94
14092059,1,0,0.33,0.47
14092060,1,0,0.33,0.47
14092062,3,1,1.33,1.25
14092063,3,1,1.33,1.25
14092065,1,0,0.33,0.47
14092066,1,1,0.67,0.47
14092067,2,1,1.0,0.82
14092069,1,0,0.33,0.47
14092072,1,0,0.33,0.47
14092074,1,0,0.33,0.47
14092075,5,2,2.33,2.05
14092077,1,0,0.33,0.47
14092078,2,1,1.0,0.82
14092094,1,0,0.33,0.47
14092099,3,1,1.33,1.25
14092105,1,0,0.33,0.47
14092106,1,0,0.33,0.47
14092107,1,0,0.33,0.47
14093001,2,0,0.67,0.94
14094012,1,0,0.33,0.47
14100056,1,0,0.33,0.47
14100100,1,0,0.33,0.47
14101009,1,0,0.33,0.47
14101025,1,0,0.33,0.47
14101026,1,0,0.33,0.47
14101028,2,0,0.67,0.94
14101074,1,0,0.33,0.47
14101132,1,0,0.33,0.47
14101161,1,0,0.33,0.47
14102006,1,0,0.33,0.47
14103004,1,0,0.33,0.47
14105011,1,0,0.33,0.47
14105013,1,0,0.33,0.47
14105014,2,1,1.0,0.82
14105015,1,0,0.33,0.47
14105020,1,0,0.33,0.47
14108007,1,0,0.33,0.47
14108008,1,0,0.33,0.47
14108021,1,1,0.67,0.47
14110001,1,0,0.33,0.47
14111002,1,0,0.33,0.47
14112000,1,0,0.33,0.47
14112002,1,0,0.33,0.47
14112009,2,0,0.67,0.94
14112010,1,0,0.33,0.47
14112011,2,2,1.33,0.94
14112012,1,0,0.33,0.47
14120000,1,0,0.33,0.47
14120002,1,0,0.33,0.47
14120012,1,0,0.33,0.47
14120029,1,0,0.33,0.47
14120030,1,1,0.67,0.47
14121010,2,0,0.67,0.94
14121011,2,1,1.0,0.82
14121012,4,1,1.67,1.7
14121013,1,0,0.33,0.47
14121014,1,0,0.33,0.47
14121018,1,0,0.33,0.47
14121023,1,0,0.33,0.47
14121029,1,0,0.33,0.47
14121033,1,0,0.33,0.47
14121047,1,0,0.33,0.47
14122001,1,0,0.33,0.47
14130013,1,0,0.33,0.47
14130025,1,1,0.67,0.47
14130041,1,0,0.33,0.47
14130049,1,0,0.33,0.47
14130054,2,0,0.67,0.94
14130055,3,3,2.0,1.41
14130060,1,0,0.33,0.47
14131001,1,0,0.33,0.47
