c,c_i_agg_count_unique_max,c_i_agg_count_unique_median,c_i_agg_count_unique_mean,c_i_agg_count_unique_std
14510,1,1,0.6666666666666666,0.4714045207910317
14513,1,0,0.3333333333333333,0.4714045207910317
14515,1,1,0.6666666666666666,0.4714045207910317
14520,1,0,0.3333333333333333,0.4714045207910317
14521,4,3,2.3333333333333335,1.699673171197595
14525,1,0,0.3333333333333333,0.4714045207910317
14529,1,0,0.3333333333333333,0.4714045207910317
14530,3,3,2.0,1.4142135623730951
14531,4,0,1.3333333333333333,1.8856180831641267
14533,2,0,0.6666666666666666,0.9428090415820634
14541,2,1,1.0,0.816496580927726
14551,1,0,0.3333333333333333,0.4714045207910317
14552,2,0,0.6666666666666666,0.9428090415820634
14560,2,2,1.3333333333333333,0.9428090415820634
14563,1,0,0.3333333333333333,0.4714045207910317
14570,2,1,1.0,0.816496580927726
14572,1,0,0.3333333333333333,0.4714045207910317
14573,2,1,1.0,0.816496580927726
14580,2,0,0.6666666666666666,0.9428090415820634
14582,1,0,0.3333333333333333,0.4714045207910317
14584,2,0,0.6666666666666666,0.9428090415820634
14585,1,1,0.6666666666666666,0.4714045207910317
14590,1,0,0.3333333333333333,0.4714045207910317
14593,2,0,0.6666666666666666,0.9428090415820634
14594,5,4,3.0,2.160246899469287
14596,2,1,1.0,0.816496580927726
14600,1,0,0.3333333333333333,0.4714045207910317
14630,2,1,1.0,0.816496580927726
14633,1,1,0.6666666666666666,0.4714045207910317
14635,1,0,0.3333333333333333,0.4714045207910317
14636,1,1,0.6666666666666666,0.4714045207910317
14644,1,1,0.6666666666666666,0.4714045207910317
14650,1,0,0.3333333333333333,0.4714045207910317
14651,2,1,1.0,0.816496580927726
14652,1,0,0.3333333333333333,0.4714045207910317
14654,1,0,0.3333333333333333,0.4714045207910317
14661,1,0,0.3333333333333333,0.4714045207910317
14700,4,1,1.6666666666666667,1.699673171197595
14701,2,1,1.0,0.816496580927726
14702,1,0,0.3333333333333333,0.4714045207910317
14710,3,2,1.6666666666666667,1.247219128924647
14713,1,0,0.3333333333333333,0.4714045207910317
14714,1,0,0.3333333333333333,0.4714045207910317
14715,1,0,0.3333333333333333,0.4714045207910317
14720,2,0,0.6666666666666666,0.9428090415820634
14721,13,12,8.333333333333334,5.90668171555645
14722,15,6,7.0,6.164414002968976
14723,1,0,0.3333333333333333,0.4714045207910317
14732,1,0,0.3333333333333333,0.4714045207910317
14733,2,1,1.0,0.816496580927726
14741,1,1,0.6666666666666666,0.4714045207910317
14750,15,7,7.333333333333333,6.128258770283412
14753,4,2,2.0,1.632993161855452
14754,6,1,2.3333333333333335,2.6246692913372702
14761,1,0,0.3333333333333333,0.4714045207910317
14763,1,0,0.3333333333333333,0.4714045207910317
14770,2,1,1.0,0.816496580927726
