b,b_i_agg_count_unique_max,b_i_agg_count_unique_median,b_i_agg_count_unique_mean,b_i_agg_count_unique_std
14331.0,2.0,0.0,0.6666666666666666,0.9428090415820634
14333.0,7.0,2.0,3.0,2.943920288775949
14335.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14338.0,4.0,3.0,2.3333333333333335,1.699673171197595
14341.0,3.0,0.0,1.0,1.4142135623730951
14344.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14345.0,5.0,4.0,3.0,2.160246899469287
14346.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14350.0,2.0,1.0,1.0,0.816496580927726
14354.0,4.0,3.0,2.3333333333333335,1.699673171197595
14355.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14357.0,3.0,1.0,1.3333333333333333,1.247219128924647
14362.0,9.0,7.0,5.333333333333333,3.8586123009300755
14366.0,12.0,8.0,6.666666666666667,4.988876515698588
14372.0,3.0,2.0,1.6666666666666667,1.247219128924647
14386.0,4.0,1.0,1.6666666666666667,1.699673171197595
14391.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14393.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14395.0,2.0,0.0,0.6666666666666666,0.9428090415820634
14396.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14404.0,2.0,0.0,0.6666666666666666,0.9428090415820634
14418.0,4.0,0.0,1.3333333333333333,1.8856180831641267
14420.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14421.0,2.0,0.0,0.6666666666666666,0.9428090415820634
14422.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14425.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14431.0,2.0,1.0,1.0,0.816496580927726
14435.0,4.0,3.0,2.3333333333333335,1.699673171197595
14436.0,2.0,0.0,0.6666666666666666,0.9428090415820634
14440.0,5.0,0.0,1.6666666666666667,2.357022603955158
14442.0,9.0,8.0,5.666666666666667,4.0276819911981905
14443.0,5.0,2.0,2.3333333333333335,2.0548046676563256
14444.0,2.0,2.0,1.3333333333333333,0.9428090415820634
14445.0,4.0,1.0,1.6666666666666667,1.699673171197595
14446.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14447.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14449.0,4.0,2.0,2.0,1.632993161855452
14453.0,2.0,1.0,1.0,0.816496580927726
14455.0,5.0,4.0,3.0,2.160246899469287
14458.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14460.0,5.0,2.0,2.3333333333333335,2.0548046676563256
14475.0,14.0,8.0,7.333333333333333,5.734883511361751
14507.0,2.0,1.0,1.0,0.816496580927726
14509.0,3.0,2.0,1.6666666666666667,1.247219128924647
14518.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14519.0,2.0,1.0,1.0,0.816496580927726
14531.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14539.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14541.0,2.0,1.0,1.0,0.816496580927726
14544.0,3.0,1.0,1.3333333333333333,1.247219128924647
14545.0,3.0,2.0,1.6666666666666667,1.247219128924647
14556.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14558.0,4.0,2.0,2.0,1.632993161855452
14570.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14573.0,4.0,3.0,2.3333333333333335,1.699673171197595
14579.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14580.0,2.0,1.0,1.0,0.816496580927726
14581.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14591.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14592.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14594.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14600.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14601.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14612.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14615.0,2.0,0.0,0.6666666666666666,0.9428090415820634
14622.0,21.0,15.0,12.0,8.831760866327848
14623.0,4.0,2.0,2.0,1.632993161855452
14626.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14627.0,3.0,1.0,1.3333333333333333,1.247219128924647
14630.0,2.0,0.0,0.6666666666666666,0.9428090415820634
14648.0,3.0,2.0,1.6666666666666667,1.247219128924647
14650.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14651.0,3.0,0.0,1.0,1.4142135623730951
14652.0,4.0,2.0,2.0,1.632993161855452
14665.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14678.0,3.0,1.0,1.3333333333333333,1.247219128924647
14682.0,2.0,0.0,0.6666666666666666,0.9428090415820634
14686.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14688.0,3.0,0.0,1.0,1.4142135623730951
14693.0,3.0,0.0,1.0,1.4142135623730951
14703.0,3.0,0.0,1.0,1.4142135623730951
14705.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14708.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14709.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14712.0,2.0,2.0,1.3333333333333333,0.9428090415820634
14719.0,1.0,1.0,0.6666666666666666,0.4714045207910317
