,b,c,b_c_agg_count_max,b_c_agg_count_median,b_c_agg_count_mean,b_c_agg_count_std,b_c_agg_amount_max,b_c_agg_amount_median,b_c_agg_amount_mean,b_c_agg_amount_std
319,11384.0,11221.0,1.0,1.0,0.6666666666666666,0.4714045207910317,18.5,18.5,12.333333333333334,8.720983634634086
320,11385.0,11521.0,2.0,1.0,1.0,0.816496580927726,33.8,16.9,16.9,13.79879221767857
321,11385.0,11522.0,2.0,0.0,0.6666666666666666,0.9428090415820634,42.9,0.0,14.299999999999999,20.22325394193526
322,11385.0,11531.0,2.0,1.0,1.0,0.816496580927726,23.8,11.9,11.9,9.716309313039941
323,11385.0,11532.0,5.0,2.0,2.3333333333333335,2.0548046676563256,33.9,19.0,17.633333333333333,13.873315713588042
324,11387.0,11221.0,1.0,0.0,0.3333333333333333,0.4714045207910317,29.0,0.0,9.666666666666666,13.67073110293992
325,14001.0,14105.0,1.0,0.0,0.3333333333333333,0.4714045207910317,2.0,0.0,0.6666666666666666,0.9428090415820634
326,14001.0,14401.0,1.07,0.0,0.3566666666666667,0.504402837246404,59.71000000000001,0.0,19.903333333333336,28.147563936432505
327,14002.0,14310.0,3.0,0.0,1.0,1.4142135623730951,43.2,0.0,14.4,20.36467529817257
328,14002.0,14617.0,1.0,0.0,0.3333333333333333,0.4714045207910317,9.8,0.0,3.266666666666667,4.619764303752111
329,14005.0,14644.0,2.0,0.0,0.6666666666666666,0.9428090415820634,7.0,0.0,2.3333333333333335,3.2998316455372216
330,14005.0,14902.0,3.0,0.0,1.0,1.4142135623730951,6.0,0.0,2.0,2.8284271247461903
331,14005.0,14956.0,3.0,2.0,1.6666666666666667,1.247219128924647,31.5,17.0,16.166666666666668,12.873314344885012
332,14008.0,14873.0,14.0,7.0,9.0,3.559026084010437,21.0,10.0,13.0,5.715476066494082
333,14010.0,14730.0,2.0,0.0,0.6666666666666666,0.9428090415820634,7.0,0.0,2.3333333333333335,3.2998316455372216
334,14010.0,14732.0,2.0,0.0,0.6666666666666666,0.9428090415820634,10.0,0.0,3.3333333333333335,4.714045207910316
335,14016.0,14580.0,1.0,0.0,0.3333333333333333,0.4714045207910317,39.8,0.0,13.266666666666666,18.76189992748306
336,14016.0,14594.0,3.0,0.0,1.0,1.4142135623730951,43.5,0.0,14.5,20.506096654409877
337,14019.0,14100.0,2.0,0.0,0.6666666666666666,0.9428090415820634,8.0,0.0,2.6666666666666665,3.7712361663282534
338,14020.0,14077.0,1.0,0.0,0.3333333333333333,0.4714045207910317,6.8,0.0,2.2666666666666666,3.205550741379015
339,14020.0,14270.0,1.0,0.0,0.3333333333333333,0.4714045207910317,7.0,0.0,2.3333333333333335,3.2998316455372216
340,14020.0,14275.0,1.0,1.0,0.6666666666666666,0.4714045207910317,9.0,4.0,4.333333333333333,3.6817870057290873
341,14022.0,14750.0,2.0,0.0,0.6666666666666666,0.9428090415820634,21.6,0.0,7.2,10.182337649086286
342,14024.0,14105.0,1.0,1.0,1.0,0.0,12.9,6.0,8.299999999999999,3.252691193458119
343,14031.0,14841.0,1.0,0.0,0.3333333333333333,0.4714045207910317,13.99,0.0,4.663333333333333,6.594949245866534
344,14031.0,14917.0,2.0,1.0,1.3333333333333333,0.4714045207910317,5.4,2.7,3.6,1.2727922061357855
345,14032.0,14750.0,9.0,5.0,6.333333333333333,1.8856180831641267,83.0,54.2,62.099999999999994,14.924476540234165
346,14033.0,14281.0,1.0,0.0,0.3333333333333333,0.4714045207910317,6.9,0.0,2.3000000000000003,3.2526911934581184
347,14033.0,14284.0,3.0,2.0,1.6666666666666667,1.247219128924647,10.8,7.2,6.0,4.48998886412873
348,14034.0,14342.0,1.0,0.0,0.3333333333333333,0.4714045207910317,68.0,0.0,22.666666666666668,32.05550741379015
349,14035.0,14800.0,2.0,1.0,1.0,0.816496580927726,19.9,15.7,11.866666666666665,8.56439658638534
350,14035.0,14804.0,1.0,0.0,0.3333333333333333,0.4714045207910317,8.9,0.0,2.966666666666667,4.195500235040182
351,14035.0,14814.0,1.0,0.0,0.3333333333333333,0.4714045207910317,6.5,0.0,2.1666666666666665,3.064129385141706
352,14035.0,14822.0,1.0,0.0,0.3333333333333333,0.4714045207910317,10.9,0.0,3.6333333333333333,5.138309276622246
353,14035.0,14839.0,1.0,0.0,0.3333333333333333,0.4714045207910317,12.9,0.0,4.3,6.081118318204309
354,14036.0,14870.0,2.0,0.0,0.6666666666666666,0.9428090415820634,8.6,0.0,2.8666666666666667,4.054078878802872
355,14038.0,14831.0,2.0,1.0,1.0,0.816496580927726,9.2,4.6,4.6,3.755884272267539
356,14039.0,14831.0,1.0,1.0,0.6666666666666666,0.4714045207910317,8.0,8.0,5.333333333333333,3.7712361663282534
357,14041.0,14300.0,1.0,0.0,0.3333333333333333,0.4714045207910317,8.6,0.0,2.8666666666666667,4.054078878802872
