u,b,u_b_count_all,u_b_count_2,u_b_count_3,u_b_count_4,u_b_amount_all,u_b_amount_2,u_b_amount_3,u_b_amount_4,u_count_all,u_count_2,u_count_3,u_count_4,u_amount_all,u_amount_2,u_amount_3,u_amount_4,b_count_all,b_count_2,b_count_3,b_count_4,b_amount_all,b_amount_2,b_amount_3,b_amount_4,u_b_count_unique_all,u_b_count_unique_2,u_b_count_unique_3,u_b_count_unique_4,b_user_all,b_user_2,b_user_3,b_user_4,b_agg_count_max,b_agg_count_median,b_agg_count_mean,b_agg_count_std,b_agg_amount_max,b_agg_amount_median,b_agg_amount_mean,b_agg_amount_std,u_b_agg_count_max,u_b_agg_count_median,u_b_agg_count_mean,u_b_agg_count_std,u_b_agg_amount_max,u_b_agg_amount_median,u_b_agg_amount_mean,u_b_agg_amount_std,u_agg_count_max,u_agg_count_median,u_agg_count_mean,u_agg_count_std,u_agg_amount_max,u_agg_amount_median,u_agg_amount_mean,u_agg_amount_std,u_b_agg_count_unique_max,u_b_agg_count_unique_median,u_b_agg_count_unique_mean,u_b_agg_count_unique_std,b_agg_user_max,b_agg_user_max_median,b_agg_user_max_mean,b_agg_user_max_std,b_user_agg_count_mean,b_user_agg_count_std,b_user_agg_count_max,b_user_agg_count_median,b_user_agg_amount_mean,b_user_agg_amount_std,b_user_agg_amount_max,b_user_agg_amount_median,u_b_user_agg_count_mean,u_b_user_agg_count_std,u_b_user_agg_count_max,u_b_user_agg_count_median,u_b_user_agg_amount_mean,u_b_user_agg_amount_std,u_b_user_agg_amount_max,u_b_user_agg_amount_median,tag
13854627199,14160.0,2.0,0.0,0.0,2.0,18.4,0.0,0.0,18.4,41.387,0.0,3.076,38.311,310.7100000000001,0.0,59.17,251.54,22.0,12.0,5.0,5.0,385.34999999999985,265.57000000000005,73.68,46.1,28,0,4,25,19,11,4,4,12.0,5.0,7.333333333333332,3.2998316455372216,265.57000000000005,73.68,128.45000000000002,97.61005720040673,2.0,0.0,0.6666666666666666,0.9428090415820634,18.4,0.0,6.133333333333333,8.673843182554982,38.311,3.076,13.795666666666667,17.380383968396348,251.54,59.17,103.57,107.38284437779932,25,4,9.666666666666666,10.964589468932349,11.0,4.0,6.33,3.3,1.16,0.36,2,1,20.28,13.98,46.9,11.98,1.33,0.47,2,1,17.81,10.19,35.9,18.5,0.0
13854627199,14213.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,41.387,0.0,3.076,38.311,310.7100000000001,0.0,59.17,251.54,12.0,1.0,4.0,7.0,33.0,1.8,13.8,17.4,28,0,4,25,10,1,3,7,7.0,4.0,4.0,2.449489742783178,17.4,13.8,11.0,6.669332800213226,1.0,0.0,0.3333333333333333,0.4714045207910317,3.0,0.0,1.0,1.4142135623730951,38.311,3.076,13.795666666666667,17.380383968396348,251.54,59.17,103.57,107.38284437779932,25,4,9.666666666666666,10.964589468932349,7.0,3.0,3.67,2.49,1.2,0.4,2,1,3.3,1.48,6.0,3.0,1.33,0.47,2,1,17.81,10.19,35.9,18.5,0.0
13854627199,14354.0,1.0,0.0,1.0,0.0,35.9,0.0,35.9,0.0,41.387,0.0,3.076,38.311,310.7100000000001,0.0,59.17,251.54,14.0,5.0,5.0,4.0,582.5999999999998,239.4,237.1,106.1,28,0,4,25,13,5,5,4,5.0,5.0,4.666666666666667,0.4714045207910317,239.4,237.1,194.2,62.30318343926471,1.0,0.0,0.3333333333333333,0.4714045207910317,35.9,0.0,11.966666666666667,16.923422296398034,38.311,3.076,13.795666666666667,17.380383968396348,251.54,59.17,103.57,107.38284437779932,25,4,9.666666666666666,10.964589468932349,5.0,5.0,4.67,0.47,1.08,0.27,2,1,44.82,19.57,89.9,36.5,1.33,0.47,2,1,17.81,10.19,35.9,18.5,0.0
13854627199,14366.0,1.0,0.0,0.0,1.0,18.5,0.0,0.0,18.5,41.387,0.0,3.076,38.311,310.7100000000001,0.0,59.17,251.54,50.0,16.0,20.0,14.0,690.1899999999998,203.70000000000005,314.3,172.19,28,0,4,25,43,14,19,12,20.0,16.0,16.666666666666668,2.494438257849294,314.3,203.70000000000005,230.06333333333336,60.93757479767489,1.0,0.0,0.3333333333333333,0.4714045207910317,18.5,0.0,6.166666666666668,8.720983634634086,38.311,3.076,13.795666666666667,17.380383968396348,251.54,59.17,103.57,107.38284437779932,25,4,9.666666666666666,10.964589468932349,19.0,14.0,15.0,2.94,1.16,0.37,2,1,16.05,8.08,40.7,14.2,1.33,0.47,2,1,17.81,10.19,35.9,18.5,0.0
13854627199,14794.0,1.0759999999999998,0.0,0.076,1.0,21.27,0.0,5.47,15.8,41.387,0.0,3.076,38.311,310.7100000000001,0.0,59.17,251.54,21.616000000000003,8.296,4.5200000000000005,8.8,738.06,258.12,157.49000000000004,322.45,28,0,4,25,23,8,9,10,8.8,8.296,7.205333333333333,1.9099328667666715,322.45,258.12,246.02,67.88597253237714,1.0,0.076,0.3586666666666667,0.4545513050128543,15.8,5.47,7.09,6.551249244736966,38.311,3.076,13.795666666666667,17.380383968396348,251.54,59.17,103.57,107.38284437779932,25,4,9.666666666666666,10.964589468932349,10.0,9.0,9.0,0.82,1.52,0.58,3,1,32.09,21.44,76.0,24.28,1.33,0.47,2,1,17.81,10.19,35.9,18.5,0.0
15963883482,14080.0,1.0,0.0,0.0,1.0,9.9,0.0,0.0,9.9,15.276,0.0,5.276,10.0,96.81,0.0,67.21000000000001,29.6,6.0,4.0,1.0,1.0,59.6,37.2,12.5,9.9,10,0,6,4,6,4,1,1,4.0,1.0,2.0,1.4142135623730951,37.2,12.5,19.866666666666667,12.30239362436794,1.0,0.0,0.3333333333333333,0.4714045207910317,9.9,0.0,3.3000000000000003,4.666904755831213,10.0,5.276,5.092,4.084555626584937,67.21000000000001,29.6,32.27,27.50324465707032,6,4,3.333333333333333,2.494438257849294,4.0,1.0,2.0,1.41,1.0,0.0,1,1,9.93,2.53,12.5,9.9,2.17,1.07,4,2,6.13,3.22,9.9,7.2,0.0
15963883482,14333.0,4.0,0.0,0.0,4.0,7.2,0.0,0.0,7.2,15.276,0.0,5.276,10.0,96.81,0.0,67.21000000000001,29.6,27.0,13.0,10.0,4.0,73.49,39.38999999999999,26.9,7.2,10,0,6,4,13,6,6,1,13.0,10.0,9.0,3.741657386773941,39.38999999999999,26.9,24.496666666666666,13.250937912297205,4.0,0.0,1.3333333333333333,1.8856180831641267,7.2,0.0,2.4,3.3941125496954285,10.0,5.276,5.092,4.084555626584937,67.21000000000001,29.6,32.27,27.50324465707032,6,4,3.333333333333333,2.494438257849294,6.0,6.0,4.33,2.36,2.08,1.49,5,1,5.65,2.88,9.4,7.2,2.17,1.07,4,2,6.13,3.22,9.9,7.2,0.0
15963883482,14338.0,3.0,0.0,0.0,3.0,3.9,0.0,0.0,3.9,15.276,0.0,5.276,10.0,96.81,0.0,67.21000000000001,29.6,39.0,13.0,11.0,15.0,89.93999999999998,34.17,17.290000000000006,38.48,10,0,6,4,11,4,4,5,15.0,13.0,13.0,1.6329931618554518,38.48,34.17,29.98,9.14407276144862,3.0,0.0,1.0,1.4142135623730951,3.9,0.0,1.3,1.8384776310850235,10.0,5.276,5.092,4.084555626584937,67.21000000000001,29.6,32.27,27.50324465707032,6,4,3.333333333333333,2.494438257849294,5.0,4.0,4.33,0.47,3.55,2.74,10,2,8.18,7.4,25.0,5.0,2.17,1.07,4,2,6.13,3.22,9.9,7.2,0.0
15963883482,14355.0,2.0,0.0,2.0,0.0,7.0,0.0,7.0,0.0,15.276,0.0,5.276,10.0,96.81,0.0,67.21000000000001,29.6,11.0,0.0,7.0,4.0,63.5,0.0,48.5,15.0,10,0,6,4,7,0,6,2,7.0,4.0,3.6666666666666665,2.867441755680876,48.5,15.0,21.166666666666668,20.274505063146567,2.0,0.0,0.6666666666666666,0.9428090415820634,7.0,0.0,2.333333333333333,3.2998316455372216,10.0,5.276,5.092,4.084555626584937,67.21000000000001,29.6,32.27,27.50324465707032,6,4,3.333333333333333,2.494438257849294,6.0,2.0,2.67,2.49,1.57,0.73,3,1,9.07,2.6,13.5,9.5,2.17,1.07,4,2,6.13,3.22,9.9,7.2,0.0
15963883482,14366.0,2.0,0.0,0.0,2.0,8.6,0.0,0.0,8.6,15.276,0.0,5.276,10.0,96.81,0.0,67.21000000000001,29.6,50.0,16.0,20.0,14.0,690.1899999999998,203.70000000000005,314.3,172.19,10,0,6,4,43,14,19,12,20.0,16.0,16.666666666666668,2.494438257849294,314.3,203.70000000000005,230.06333333333336,60.93757479767489,2.0,0.0,0.6666666666666666,0.9428090415820634,8.6,0.0,2.8666666666666667,4.054078878802872,10.0,5.276,5.092,4.084555626584937,67.21000000000001,29.6,32.27,27.50324465707032,6,4,3.333333333333333,2.494438257849294,19.0,14.0,15.0,2.94,1.16,0.37,2,1,16.05,8.08,40.7,14.2,2.17,1.07,4,2,6.13,3.22,9.9,7.2,0.0
