u,u_b_user_agg_count_mean,u_b_user_agg_count_std,u_b_user_agg_count_max,u_b_user_agg_count_median,u_b_user_agg_amount_mean,u_b_user_agg_amount_std,u_b_user_agg_amount_max,u_b_user_agg_amount_median
2900000566378,1.34,0.71,4,1,12.75,12.39,59.0,8.5
2900000574274,1.0,0.0,1,1,29.0,0.5,29.5,29.5
2900000587649,1.17,0.55,3,1,12.59,19.96,78.0,7.5
2900000588691,2.22,2.31,10,1,32.11,30.52,119.0,20.8
2900000604360,1.38,0.62,3,1,28.7,24.1,71.0,22.5
2900000623040,1.33,0.47,2,1,20.3,14.42,39.0,18.0
2900000680036,1.38,0.48,2,1,16.09,22.91,76.0,8.5
2900000780743,1.5,0.67,3,1,11.14,5.58,19.2,11.5
2900000780835,1.0,0.0,1,1,4.5,0.0,4.5,4.5
2900000781603,1.75,1.3,4,1,17.65,14.5,39.8,21.4
2900000784918,1.83,1.5,7,1,13.2,15.34,68.0,7.5
2900000840164,1.33,0.67,3,1,17.17,9.99,32.9,16.9
2900000840805,1.83,1.07,4,2,27.1,23.31,96.6,19.8
2900000845121,1.86,1.12,4,1,19.04,11.05,38.0,19.9
2900000847224,1.46,0.75,3,1,12.63,10.01,36.0,8.9
2900000849785,1.57,0.92,4,1,18.42,16.0,69.0,12.8
2900000852525,1.38,0.49,2,1,7.95,4.22,20.0,7.5
2900000855502,1.0,0.0,1,1,0.2,0.0,0.2,0.2
2900000856585,2.0,0.0,2,2,36.0,0.0,36.0,36.0
2900000863286,1.22,0.42,2,1,19.08,6.01,27.6,19.8
2900000863880,1.44,0.61,3,1,13.37,11.4,39.9,9.9
2900000864498,1.36,0.84,5,1,17.0,35.49,188.0,8.4
2900000870994,1.25,0.43,2,1,42.4,31.9,79.8,68.0
2900000874145,1.31,0.85,4,1,35.97,36.71,109.8,19.8
2900000874930,1.53,0.62,3,1,16.82,23.79,98.0,7.6
2900000880467,1.0,0.0,1,1,5.25,3.25,8.5,8.5
2900000883475,1.16,0.49,3,1,12.51,15.97,78.0,8.6
2900000883819,1.75,0.43,2,2,19.6,11.57,30.0,26.4
2900000884007,1.5,1.0,4,1,19.75,14.96,48.0,18.9
2900000890688,1.5,0.67,3,1,14.31,12.8,35.9,12.0
2900000934474,1.56,0.96,4,1,22.4,21.15,83.2,17.5
2900000936997,1.33,0.47,2,1,19.53,18.56,58.0,15.0
2900000941830,1.52,0.66,3,1,27.33,35.24,128.0,10.8
2900001020541,1.29,0.7,3,1,8.79,4.86,17.0,9.2
