i,i_agg_user_max,i_agg_user_max_median,i_agg_user_max_mean,i_agg_user_max_std
10421016,1,0,0.33,0.47
10421024,1,0,0.33,0.47
10422008,1,0,0.33,0.47
10422010,1,0,0.33,0.47
10422011,1,0,0.33,0.47
10422012,2,0,0.67,0.94
10435002,1,0,0.33,0.47
10435004,2,0,0.67,0.94
10435007,1,0,0.33,0.47
10435024,1,0,0.33,0.47
10435031,1,1,0.67,0.47
10435034,1,0,0.33,0.47
10435036,2,0,0.67,0.94
10435037,1,0,0.33,0.47
10435040,2,0,0.67,0.94
10439017,1,0,0.33,0.47
10439019,1,0,0.33,0.47
10440002,1,0,0.33,0.47
10440005,1,0,0.33,0.47
10440006,1,0,0.33,0.47
10440036,1,0,0.33,0.47
10440048,1,0,0.33,0.47
10441009,1,0,0.33,0.47
10441013,1,0,0.33,0.47
10441014,1,0,0.33,0.47
10441016,1,0,0.33,0.47
10443004,1,0,0.33,0.47
10450004,1,0,0.33,0.47
10454002,1,0,0.33,0.47
10454005,1,0,0.33,0.47
10454006,1,0,0.33,0.47
10501053,1,0,0.33,0.47
10501054,2,0,0.67,0.94
10501076,1,0,0.33,0.47
10501079,1,1,0.67,0.47
10501088,1,0,0.33,0.47
10501092,1,0,0.33,0.47
10501093,1,1,0.67,0.47
10502004,1,0,0.33,0.47
10502041,1,0,0.33,0.47
10502042,1,0,0.33,0.47
10502045,1,0,0.33,0.47
10502047,1,0,0.33,0.47
10502059,1,0,0.33,0.47
10603002,1,0,0.33,0.47
11000007,1,0,0.33,0.47
11002005,1,0,0.33,0.47
11003018,1,0,0.33,0.47
11004003,1,1,0.67,0.47
11004019,1,0,0.33,0.47
11005009,1,0,0.33,0.47
11005012,1,0,0.33,0.47
11005015,1,0,0.33,0.47
11008004,1,1,0.67,0.47
11010002,1,0,0.33,0.47
11011001,1,0,0.33,0.47
11011002,1,0,0.33,0.47
11011004,1,0,0.33,0.47
11011015,1,1,0.67,0.47
11011027,1,0,0.33,0.47
11011028,2,0,0.67,0.94
11011030,1,1,0.67,0.47
11011031,1,0,0.33,0.47
11011034,1,1,0.67,0.47
11011035,1,0,0.33,0.47
11011036,1,0,0.33,0.47
11011037,1,0,0.33,0.47
11020004,1,0,0.33,0.47
11020005,1,0,0.33,0.47
11020018,1,0,0.33,0.47
11020021,1,0,0.33,0.47
11022005,1,0,0.33,0.47
11022006,1,0,0.33,0.47
11022016,1,0,0.33,0.47
11022022,2,0,0.67,0.94
11022030,1,1,1.0,0.0
11022037,1,0,0.33,0.47
11022040,1,0,0.33,0.47
11022041,1,0,0.33,0.47
11022065,2,0,0.67,0.94
11022075,1,0,0.33,0.47
