b,b_agg_user_max,b_agg_user_max_median,b_agg_user_max_mean,b_agg_user_max_std
14001.0,5.0,0.0,1.67,2.36
14002.0,2.0,0.0,0.67,0.94
14005.0,3.0,3.0,2.67,0.47
14008.0,4.0,2.0,2.67,0.94
14010.0,1.0,1.0,0.67,0.47
14016.0,2.0,1.0,1.0,0.82
14019.0,1.0,0.0,0.33,0.47
14020.0,2.0,1.0,1.0,0.82
14022.0,1.0,0.0,0.33,0.47
14024.0,1.0,1.0,1.0,0.0
14031.0,3.0,1.0,1.67,0.94
14032.0,8.0,4.0,5.0,2.16
14033.0,3.0,1.0,1.33,1.25
14034.0,1.0,0.0,0.33,0.47
14035.0,4.0,1.0,1.67,1.7
14036.0,1.0,0.0,0.33,0.47
14038.0,2.0,1.0,1.0,0.82
14039.0,1.0,1.0,0.67,0.47
14041.0,2.0,2.0,1.33,0.94
14042.0,1.0,1.0,1.0,0.0
14043.0,4.0,2.0,2.33,1.25
14044.0,11.0,4.0,6.33,3.3
14045.0,2.0,1.0,1.0,0.82
14049.0,1.0,0.0,0.33,0.47
14051.0,9.0,4.0,5.0,2.94
14067.0,4.0,2.0,2.67,0.94
14069.0,1.0,1.0,0.67,0.47
14070.0,2.0,1.0,1.0,0.82
14071.0,2.0,1.0,1.33,0.47
14079.0,5.0,5.0,4.67,0.47
14080.0,4.0,1.0,2.0,1.41
14082.0,7.0,7.0,6.67,0.47
14084.0,1.0,1.0,0.67,0.47
14088.0,1.0,1.0,0.67,0.47
14092.0,3.0,1.0,1.33,1.25
14097.0,1.0,0.0,0.33,0.47
14098.0,12.0,12.0,11.0,1.41
14102.0,4.0,3.0,3.33,0.47
14104.0,5.0,4.0,3.67,1.25
14108.0,1.0,1.0,0.67,0.47
14110.0,2.0,2.0,1.67,0.47
14112.0,5.0,4.0,3.67,1.25
14116.0,1.0,1.0,0.67,0.47
14117.0,2.0,1.0,1.0,0.82
14118.0,1.0,1.0,0.67,0.47
14119.0,2.0,1.0,1.0,0.82
14121.0,3.0,2.0,2.0,0.82
14123.0,6.0,4.0,4.33,1.25
14126.0,5.0,4.0,3.33,1.7
14127.0,1.0,1.0,0.67,0.47
14129.0,1.0,0.0,0.33,0.47
14133.0,2.0,0.0,0.67,0.94
14134.0,1.0,0.0,0.33,0.47
14145.0,5.0,3.0,3.0,1.63
14146.0,2.0,1.0,1.33,0.47
