u,u_c_count_unique_all,u_c_count_unique_2,u_c_count_unique_3,u_c_count_unique_4
2900000780040,3,2,1,0
2900000780743,17,2,0,17
2900000780835,14,13,3,4
2900000781603,13,0,6,9
2900000784918,46,16,34,1
2900000840164,16,6,11,0
2900000840805,22,4,6,14
2900000845121,13,5,10,0
2900000847224,23,14,5,11
2900000849785,34,19,2,19
2900000852525,22,5,17,9
2900000855502,7,0,2,5
2900000856585,4,2,2,0
2900000863286,16,3,11,2
2900000863880,30,15,13,7
2900000864498,46,0,17,35
2900000870994,8,2,2,4
2900000874145,28,2,20,10
2900000874930,21,12,10,0
2900000880467,6,4,3,0
2900000883475,32,4,7,23
2900000883819,11,3,8,2
2900000884007,27,0,0,27
2900000890688,23,18,5,0
2900000934474,29,19,7,5
2900000936997,17,10,8,0
2900000941830,32,19,13,4
2900001020541,13,0,13,0
2900001047739,25,15,11,11
2900001050364,21,4,0,17
2900001050500,20,4,10,14
2900001050791,56,36,10,22
2900001067881,17,16,2,0
2900001067911,16,8,3,9
2900001068499,39,20,9,17
2900001068833,26,3,7,18
2900001078658,15,7,0,8
2900001090605,3,0,2,2
2900001092012,12,8,0,4
2900001093019,16,8,4,8
2900001094702,30,3,17,15
2900001157902,31,0,22,10
2900001211239,24,18,8,0
2900001211321,18,4,15,0
2900001215688,33,23,6,5
2900001216616,39,12,19,17
2900001220255,20,10,5,5
2900001234399,17,7,11,2
2900001238632,18,4,6,8
2900001240246,14,3,1,12
2900001255080,13,11,0,5
2900001270014,3,0,3,0
2900001270199,13,5,10,0
2900001270205,9,1,7,6
2900001307901,11,11,0,0
2900001308168,16,13,0,6
2900001331616,39,16,19,9
2900001355049,7,2,0,5
2900001364058,25,20,4,11
2900001398121,28,15,15,3
2900001413886,19,6,13,0
2900001419826,28,18,0,11
2900001421652,17,10,3,4
2900001423069,11,2,3,7
2900001431651,7,7,0,0
2900001432658,46,13,28,17
2900001432672,20,2,15,6
2900001435116,3,3,0,0
2900001436120,7,3,5,0
2900001436366,10,1,3,6
2900001436410,6,6,0,0
2900001436700,14,9,5,0
2900001437165,16,12,4,2
2900001437424,6,0,0,6
2900001451932,20,10,12,6
2900001452366,19,19,0,0
2900001462648,15,7,8,0
2900001463379,14,8,5,2
2900001465380,14,14,1,0
2900001465816,15,12,4,1
2900001465960,20,0,16,7
2900001466509,6,2,3,1
2900001467353,26,9,16,8
2900001470780,11,2,6,5
2900001497336,5,5,0,0
2900001509459,28,22,0,11
2900001540117,7,6,1,1
2900001540971,14,14,0,0
2900001550246,22,11,0,13
2900001568630,26,8,4,19
2900001575201,20,9,9,3
2900001578363,32,5,14,17
2900001582933,4,0,0,4
2900001645768,21,0,5,18
2900001661508,21,11,8,9
2900001663823,26,11,8,9
2900001668996,19,9,13,3
2900001671408,14,0,0,14
2900001684507,1,1,0,0
2900002532630,11,0,2,9
2900002542837,6,0,3,3
2900002548457,15,4,8,5
2900002701746,33,6,27,1
2900002927733,27,21,3,4
2900002930092,25,5,8,15
2900002932416,44,18,27,13
2900002932614,25,13,11,8
2900002933024,55,31,23,23
2900002933918,16,2,0,14
2900002934304,30,11,9,11
2900002934342,49,20,15,21
2900002934762,14,6,7,2
2900002934892,25,18,4,3
2900002934915,21,9,7,10
2900002936520,8,0,3,5
2900002936940,36,11,0,26
2900002937428,23,10,9,8
2900002937503,28,1,12,18
2900002969559,5,5,0,0
2900003105154,30,19,6,8
2900003105161,6,2,3,3
2900003106281,9,6,0,4
2900003106502,11,9,0,3
2900003107363,10,7,1,5
2900003108773,10,2,7,7
2900003110479,28,18,15,0
2900003114002,22,0,14,9
2900003114170,7,1,0,6
2900003114613,18,0,18,0
2900003114880,15,7,8,4
2900003115009,8,3,3,2
2900003116341,7,3,2,2
2900003116822,14,10,4,0
2900003117386,6,5,5,0
2900003120607,22,14,5,3
2900003122076,19,18,3,0
2900003123479,29,8,11,17
6222021615010082737,8,6,4,0
6227002180901670266,55,40,18,14
6227002180921663895,16,6,10,1
