c,c_user_agg_count_mean,c_user_agg_count_std,c_user_agg_count_max,c_user_agg_count_median,c_user_agg_amount_mean,c_user_agg_amount_std,c_user_agg_amount_max,c_user_agg_amount_median
11121,2.0,0.0,2,2,13.0,0.0,13.0,13.0
11140,1.0,0.0,1,1,12.0,0.0,12.0,12.0
11141,1.5,0.87,3,1,26.03,26.97,72.4,15.9
11200,1.0,0.0,1,1,20.51,11.1,39.6,19.8
11201,1.0,0.0,1,1,29.9,0.0,29.9,29.9
11205,1.0,0.0,1,1,15.0,0.0,15.0,15.0
11212,1.0,0.0,1,1,37.5,6.42,44.5,39.0
11220,1.44,0.68,3,1,10.67,4.33,17.8,10.9
11221,1.17,0.37,2,1,6.88,5.86,19.5,3.5
11222,1.2,0.4,2,1,12.0,5.58,21.9,10.9
11230,1.38,0.48,2,1,54.14,27.82,81.8,76.9
11231,1.0,0.0,1,1,32.67,12.88,49.0,34.9
11233,1.0,0.0,1,1,17.37,12.44,34.9,9.8
11235,1.0,0.0,1,1,6.5,0.0,6.5,6.5
11241,1.0,0.0,1,1,75.38,33.41,118.0,69.0
11250,1.2,0.4,2,1,16.85,6.86,35.2,16.8
11300,1.22,0.63,4,1,13.89,10.21,55.6,12.8
11301,1.0,0.0,1,1,22.58,8.94,35.0,22.8
11302,1.0,0.0,1,1,11.14,4.09,19.0,10.8
11303,1.41,0.6,3,1,16.15,12.13,53.9,12.9
11304,1.0,0.0,1,1,9.14,2.19,12.6,7.8
11305,1.33,0.47,2,1,31.5,12.95,49.8,22.9
11311,1.0,0.0,1,1,34.75,23.25,58.0,58.0
11313,1.0,0.0,1,1,39.0,0.0,39.0,39.0
11400,1.0,0.0,1,1,36.9,0.0,36.9,36.9
11500,1.67,0.75,4,2,18.37,12.93,65.9,14.9
11501,1.69,0.77,3,2,18.38,9.85,38.0,18.0
11502,1.17,0.37,2,1,7.67,4.68,17.6,7.6
11503,2.0,0.0,2,2,41.0,0.0,41.0,41.0
11504,1.0,0.0,1,1,11.53,1.65,13.8,10.9
11506,1.0,0.0,1,1,29.8,0.0,29.8,29.8
11511,3.0,0.0,3,3,236.5,110.5,347.0,347.0
11521,1.0,0.0,1,1,23.12,5.79,28.9,28.9
11522,1.14,0.35,2,1,28.74,9.99,47.8,29.9
11530,1.0,0.0,1,1,12.9,0.0,12.9,12.9
11531,1.08,0.27,2,1,14.02,4.94,23.8,11.9
11532,1.22,0.66,4,1,9.25,3.59,18.0,9.5
11533,1.8,1.08,4,1,5.83,4.25,14.4,3.98
11540,1.0,0.0,1,1,7.8,0.0,7.8,7.8
14000,1.92,1.07,5,2,9.45,6.18,23.4,7.0
14001,1.0,0.0,1,1,7.8,0.0,7.8,7.8
14002,1.0,0.0,1,1,7.5,0.0,7.5,7.5
14010,1.4,0.49,2,1,7.71,7.12,28.5,7.0
14012,2.0,0.0,2,2,7.6,0.0,7.6,7.6
14013,1.12,0.33,2,1,4.4,1.72,8.4,4.2
14014,2.5,0.5,3,3,26.6,6.2,32.8,32.8
14015,1.33,0.47,2,1,16.5,5.41,25.6,13.6
14020,1.33,0.47,2,1,9.2,3.25,13.8,6.9
14021,1.67,1.49,5,1,16.98,16.67,53.4,13.9
