i,i_user_agg_count_mean,i_user_agg_count_std,i_user_agg_count_max,i_user_agg_count_median,i_user_agg_amount_mean,i_user_agg_amount_std,i_user_agg_amount_max,i_user_agg_amount_median
15004029,1.0,0.0,1,1,9.9,0.0,9.9,9.9
15004032,1.0,0.0,1,1,2.5,0.0,2.5,2.5
15004033,1.0,0.0,1,1,2.5,0.0,2.5,2.5
15004036,1.0,0.0,1,1,10.0,0.0,10.0,10.0
15004040,1.5,0.5,2,2,7.35,2.45,9.8,9.8
15004041,1.5,0.5,2,2,7.35,2.45,9.8,9.8
15004051,1.5,0.5,2,2,1.5,0.5,2.0,2.0
15004053,1.0,0.0,1,1,7.5,0.0,7.5,7.5
15004055,1.0,0.0,1,1,6.9,0.0,6.9,6.9
15004056,1.0,0.0,1,1,5.5,0.0,5.5,5.5
15004058,1.5,0.5,2,2,3.0,1.0,4.0,4.0
15004062,1.0,0.0,1,1,5.9,0.0,5.9,5.9
15004064,1.0,0.0,1,1,5.9,0.0,5.9,5.9
15004066,1.0,0.0,1,1,7.2,0.3,7.5,7.5
15004071,1.5,0.5,2,2,1.6,0.4,2.0,2.0
15004073,1.0,0.0,1,1,9.9,0.0,9.9,9.9
15004079,1.0,0.0,1,1,3.0,0.0,3.0,3.0
15004080,1.0,0.0,1,1,11.99,0.0,11.99,11.99
15004085,1.0,0.0,1,1,12.5,0.0,12.5,12.5
15005002,1.0,0.0,1,1,29.9,0.0,29.9,29.9
15012007,1.0,0.0,1,1,5.8,0.0,5.8,5.8
15021025,1.0,0.0,1,1,3.9,0.0,3.9,3.9
15021027,1.0,0.0,1,1,13.8,0.0,13.8,13.8
15021031,1.0,0.0,1,1,13.8,0.0,13.8,13.8
15022017,1.0,0.0,1,1,6.0,0.0,6.0,6.0
15029015,1.0,0.0,1,1,5.5,0.0,5.5,5.5
15029016,1.0,0.0,1,1,5.5,0.0,5.5,5.5
15029048,1.0,0.0,1,1,5.5,0.0,5.5,5.5
15029050,1.0,0.0,1,1,9.5,0.0,9.5,9.5
15100002,1.0,0.0,1,1,49.8,0.0,49.8,49.8
15101003,2.0,1.0,3,3,48.0,24.0,72.0,72.0
