u,u_c_agg_count_unique_max,u_c_agg_count_unique_median,u_c_agg_count_unique_mean,u_c_agg_count_unique_std
2900001462648,8,7,5.0,3.559026084010437
2900001463379,8,5,5.0,2.449489742783178
2900001465380,14,1,5.0,6.377042156569663
2900001465816,12,4,5.666666666666667,4.642796092394707
2900001465960,16,7,7.666666666666667,6.548960901462833
2900001466509,3,2,2.0,0.816496580927726
2900001467353,16,9,11.0,3.559026084010437
2900001470780,6,5,4.333333333333333,1.699673171197595
2900001497336,5,0,1.6666666666666667,2.357022603955158
2900001509459,22,11,11.0,8.981462390204987
2900001540117,6,1,2.6666666666666665,2.3570226039551585
2900001540971,14,0,4.666666666666667,6.599663291074443
2900001550246,13,11,8.0,5.715476066494082
2900001568630,19,8,10.333333333333334,6.342099196813483
2900001575201,9,9,7.0,2.8284271247461903
2900001578363,17,14,12.0,5.0990195135927845
2900001582933,4,0,1.3333333333333333,1.8856180831641267
2900001645768,18,5,7.666666666666667,7.586537784494028
2900001661508,11,9,9.333333333333334,1.247219128924647
2900001663823,11,9,9.333333333333334,1.247219128924647
2900001668996,13,9,8.333333333333334,4.109609335312651
2900001671408,14,0,4.666666666666667,6.599663291074443
2900001684507,1,0,0.3333333333333333,0.4714045207910317
2900002532630,9,2,3.6666666666666665,3.8586123009300755
2900002542837,3,3,2.0,1.4142135623730951
2900002548457,8,5,5.666666666666667,1.699673171197595
2900002701746,27,6,11.333333333333334,11.2644968324772
2900002927733,21,4,9.333333333333334,8.259674462242577
2900002930092,15,8,9.333333333333334,4.189935029992179
2900002932416,27,18,19.333333333333332,5.792715732327588
2900002932614,13,11,10.666666666666666,2.0548046676563256
2900002933024,31,23,25.666666666666668,3.7712361663282534
2900002933918,14,2,5.333333333333333,6.18241233033047
2900002934304,11,11,10.333333333333334,0.9428090415820634
2900002934342,21,20,18.666666666666668,2.6246692913372702
2900002934762,7,6,5.0,2.160246899469287
2900002934892,18,4,8.333333333333334,6.847546194724712
2900002934915,10,9,8.666666666666666,1.247219128924647
2900002936520,5,3,2.6666666666666665,2.0548046676563256
2900002936940,26,11,12.333333333333334,10.656244908763853
2900002937428,10,9,9.0,0.816496580927726
2900002937503,18,12,10.333333333333334,7.039570693980959
2900002969559,5,0,1.6666666666666667,2.357022603955158
2900003105154,19,8,11.0,5.715476066494082
2900003105161,3,3,2.6666666666666665,0.4714045207910317
2900003106281,6,4,3.3333333333333335,2.494438257849294
2900003106502,9,3,4.0,3.7416573867739413
2900003107363,7,5,4.333333333333333,2.494438257849294
2900003108773,7,7,5.333333333333333,2.357022603955158
2900003110479,18,15,11.0,7.874007874011811
2900003114002,14,9,7.666666666666667,5.792715732327588
2900003114170,6,1,2.3333333333333335,2.6246692913372702
2900003114613,18,0,6.0,8.48528137423857
2900003114880,8,7,6.333333333333333,1.699673171197595
2900003115009,3,3,2.6666666666666665,0.4714045207910317
2900003116341,3,2,2.3333333333333335,0.4714045207910317
2900003116822,10,4,4.666666666666667,4.109609335312651
2900003117386,5,5,3.3333333333333335,2.3570226039551585
2900003120607,14,5,7.333333333333333,4.784233364802441
2900003122076,18,3,7.0,7.874007874011811
2900003123479,17,11,12.0,3.7416573867739413
6222021615010082737,6,4,3.3333333333333335,2.494438257849294
6227002180901670266,40,18,24.0,11.430952132988164
6227002180921663895,10,6,5.666666666666667,3.6817870057290873
