u,u_b_agg_count_unique_max,u_b_agg_count_unique_median,u_b_agg_count_unique_mean,u_b_agg_count_unique_std
1593141148827,9,8,7.666666666666667,1.247219128924647
1593150463515,20,13,12.333333333333334,6.548960901462833
1594140121125,2,0,0.6666666666666666,0.9428090415820634
1594140460286,3,2,2.0,0.816496580927726
1595112593216,7,5,5.0,1.632993161855452
1595130081566,12,11,8.666666666666666,4.027681991198191
1595150263683,10,1,4.0,4.242640687119285
1595150403423,17,8,9.0,6.164414002968976
1595150738976,11,0,3.6666666666666665,5.185449728701348
1595150770945,9,7,5.333333333333333,3.858612300930075
1595150771652,27,23,17.333333333333332,10.96458946893235
1595150883423,8,8,6.333333333333333,2.357022603955158
1595150997786,4,3,2.3333333333333335,1.699673171197595
1595151123344,12,11,9.666666666666666,2.6246692913372702
1595151204906,15,3,6.666666666666667,5.9066817155564495
1595151355660,9,7,7.0,1.632993161855452
1595151375125,6,0,2.0,2.8284271247461903
1595151442803,6,5,5.0,0.816496580927726
1595151609213,7,6,6.0,0.816496580927726
1595151616471,15,9,11.0,2.8284271247461903
1595151629143,9,4,4.666666666666667,3.2998316455372216
1595151630446,18,10,9.333333333333334,7.363574011458175
1595151630774,5,3,2.6666666666666665,2.0548046676563256
1595151631146,4,0,1.3333333333333333,1.8856180831641267
1595151738968,5,3,3.6666666666666665,0.9428090415820634
1595151866807,13,13,10.666666666666666,3.2998316455372216
1595151915963,22,15,16.333333333333332,4.189935029992178
1595160035249,9,8,7.666666666666667,1.247219128924647
1595160353664,5,4,4.0,0.816496580927726
1596130424193,3,0,1.0,1.4142135623730951
1596140586607,16,4,6.666666666666667,6.79869268479038
1596140587802,3,3,2.6666666666666665,0.4714045207910317
1596140594374,18,13,10.333333333333334,7.586537784494028
1596140628703,15,7,8.333333333333334,4.988876515698588
1596160006376,14,5,8.0,4.242640687119285
1596160024097,13,12,11.333333333333334,1.699673171197595
1596160058337,9,9,6.0,4.242640687119285
1598140107578,12,3,5.0,5.0990195135927845
1598140129341,6,4,3.6666666666666665,2.0548046676563256
2900000040663,17,4,7.0,7.2571803523590805
2900000050419,1,1,0.6666666666666666,0.4714045207910317
2900000050785,37,11,16.666666666666668,14.83988619303471
2900000071742,16,7,9.333333333333334,4.784233364802441
2900000072022,36,15,18.333333333333332,13.27487183449325
2900000072701,5,0,1.6666666666666667,2.357022603955158
2900000074163,12,10,10.333333333333334,1.247219128924647
2900000124974,12,10,8.0,4.320493798938574
2900000125261,18,1,6.333333333333333,8.259674462242579
2900000164567,6,5,5.0,0.816496580927726
2900000177079,12,6,7.0,3.7416573867739413
2900000178106,12,12,8.0,5.656854249492381
2900000179417,5,3,3.0,1.632993161855452
2900000192492,8,6,4.666666666666667,3.39934634239519
2900000194298,2,0,0.6666666666666666,0.9428090415820634
2900000203457,26,0,8.666666666666666,12.256517540566826
2900000210790,5,4,3.6666666666666665,1.247219128924647
2900000224001,24,14,15.666666666666666,6.236095644623235
2900000224315,17,6,7.666666666666667,7.0395706939809575
2900000239876,9,3,4.0,3.7416573867739413
2900000245396,19,10,11.333333333333334,5.792715732327589
2900000245914,27,27,18.0,12.727922061357855
2900000246638,11,3,5.666666666666667,3.7712361663282534
2900000253230,12,10,7.333333333333333,5.2493385826745405
2900000254503,2,2,1.3333333333333333,0.9428090415820634
2900000255463,32,14,15.333333333333334,13.097921802925667
2900000256637,14,0,4.666666666666667,6.599663291074443
2900000268692,10,9,7.0,3.559026084010437
2900000271814,19,17,13.666666666666666,6.182412330330469
2900000284333,13,0,4.333333333333333,6.128258770283412
2900000304376,12,7,7.666666666666667,3.299831645537222
2900000307377,5,3,2.6666666666666665,2.0548046676563256
2900000308312,23,20,14.333333333333334,10.208928554075703
2900000317307,13,4,5.666666666666667,5.436502143433363
2900000330863,16,11,11.333333333333334,3.6817870057290873
2900000337633,11,0,3.6666666666666665,5.185449728701348
2900000339637,11,0,3.6666666666666665,5.185449728701348
2900000342651,8,7,6.666666666666667,1.247219128924647
2900000345300,7,4,3.6666666666666665,2.8674417556808756
2900000348561,4,2,2.3333333333333335,1.247219128924647
2900000350175,24,12,14.333333333333334,7.133644853010899
2900000350458,13,13,9.0,5.656854249492381
2900000353848,18,5,8.0,7.2571803523590805
2900000372849,24,1,8.333333333333334,11.08552609887726
2900000383913,44,29,30.666666666666668,10.274023338281626
2900000384187,5,0,1.6666666666666667,2.357022603955158
2900000385627,4,0,1.3333333333333333,1.8856180831641267
2900000386440,27,11,15.0,8.640987597877148
2900000386495,5,4,4.0,0.816496580927726
2900000390256,1,0,0.3333333333333333,0.4714045207910317
2900000394940,7,5,4.0,2.943920288775949
2900000404731,10,2,4.0,4.320493798938574
2900000408586,12,7,8.333333333333334,2.6246692913372702
2900000416307,13,7,8.0,3.7416573867739413
2900000417663,8,0,2.6666666666666665,3.7712361663282534
2900000418073,20,17,12.333333333333334,8.806563209081938
2900000448520,24,19,14.333333333333334,10.338708279513881
2900000449732,15,6,7.0,6.164414002968976
2900000451452,17,13,12.666666666666666,3.6817870057290873
2900000452756,27,4,10.333333333333334,11.897712198383164
2900000476042,6,0,2.0,2.8284271247461903
2900000485990,31,5,13.333333333333334,12.498888839501783
2900000544765,11,9,9.666666666666666,0.9428090415820634
2900000557161,6,0,2.0,2.8284271247461903
2900000562165,15,12,12.0,2.449489742783178
2900000566378,38,0,12.666666666666666,17.913371790059205
2900000574274,4,0,1.3333333333333333,1.8856180831641267
2900000587649,15,0,5.0,7.0710678118654755
2900000588691,50,38,29.333333333333332,21.312489817527705
2900000604360,10,7,6.666666666666667,2.8674417556808756
2900000623040,6,6,4.0,2.8284271247461903
2900000680036,10,0,3.3333333333333335,4.714045207910316
2900000780040,2,1,1.0,0.816496580927726
2900000780743,17,2,6.333333333333333,7.586537784494029
2900000780835,23,6,11.0,8.524474568362947
2900000781603,12,8,6.666666666666667,4.988876515698588
2900000784918,59,17,25.666666666666668,24.458581770458853
2900000840164,17,6,7.666666666666667,7.0395706939809575
2900000840805,17,8,10.333333333333334,4.784233364802441
2900000845121,10,6,5.333333333333333,4.109609335312651
2900000847224,14,10,10.0,3.265986323710904
2900000849785,22,20,14.666666666666666,8.993825042154695
2900000852525,41,41,32.0,12.727922061357855
2900000855502,6,2,2.6666666666666665,2.494438257849294
2900000856585,3,1,1.3333333333333333,1.247219128924647
