i,i_agg_count_max,i_agg_count_median,i_agg_count_mean,i_agg_count_std,i_agg_amount_max,i_agg_amount_median,i_agg_amount_mean,i_agg_amount_std
10008003.0,3.0,0.0,1.0,1.4142135623730951,12.0,0.0,4.0,5.656854249492381
10008011.0,1.0,1.0,0.6666666666666666,0.4714045207910317,6.8,6.8,4.533333333333333,3.205550741379015
10008012.0,1.0,0.0,0.3333333333333333,0.4714045207910317,6.8,0.0,2.2666666666666666,3.205550741379015
10100002.0,5.0,0.0,1.6666666666666667,2.357022603955158,17.5,0.0,5.833333333333333,8.249579113843055
10100003.0,2.0,1.0,1.0,0.816496580927726,27.700000000000006,14.8,14.16666666666667,11.317341658809381
10100004.0,2.0,1.0,1.0,0.816496580927726,33.6,16.8,16.8,13.717142559585797
10100005.0,1.0,1.0,0.6666666666666666,0.4714045207910317,16.8,16.8,11.200000000000001,7.919595949289333
10100007.0,2.0,0.0,0.6666666666666666,0.9428090415820634,31.6,0.0,10.533333333333333,14.896382856996603
10100010.0,1.0,0.0,0.3333333333333333,0.4714045207910317,15.8,0.0,5.266666666666667,7.448191428498301
10102002.0,1.0,0.0,0.3333333333333333,0.4714045207910317,15.8,0.0,5.266666666666667,7.448191428498301
10103000.0,1.0,1.0,0.6666666666666666,0.4714045207910317,4.0,3.5,2.5,1.7795130420052185
10103001.0,1.0,0.0,0.3333333333333333,0.4714045207910317,11.9,0.0,3.966666666666667,5.609713797413277
10103003.0,1.0,0.0,0.3333333333333333,0.4714045207910317,16.8,0.0,5.6000000000000005,7.919595949289333
10109002.0,1.0,0.0,0.3333333333333333,0.4714045207910317,11.9,0.0,3.966666666666667,5.609713797413277
10109004.0,1.0,0.0,0.3333333333333333,0.4714045207910317,16.8,0.0,5.6000000000000005,7.919595949289333
10109005.0,2.0,1.0,1.0,0.816496580927726,33.6,16.8,16.8,13.717142559585797
10109009.0,2.0,0.0,0.6666666666666666,0.9428090415820634,33.6,0.0,11.200000000000001,15.839191898578665
10109010.0,1.0,0.0,0.3333333333333333,0.4714045207910317,16.8,0.0,5.6000000000000005,7.919595949289333
10109014.0,1.0,0.0,0.3333333333333333,0.4714045207910317,16.8,0.0,5.6000000000000005,7.919595949289333
10109015.0,1.0,0.0,0.3333333333333333,0.4714045207910317,16.8,0.0,5.6000000000000005,7.919595949289333
10109017.0,1.0,0.0,0.3333333333333333,0.4714045207910317,25.5,0.0,8.5,12.020815280171307
10109021.0,1.0,0.0,0.3333333333333333,0.4714045207910317,15.8,0.0,5.266666666666667,7.448191428498301
10109026.0,1.0,0.0,0.3333333333333333,0.4714045207910317,16.8,0.0,5.6000000000000005,7.919595949289333
10110000.0,2.0,1.0,1.3333333333333333,0.4714045207910317,9.0,4.5,6.0,2.1213203435596424
10110010.0,1.0,0.0,0.3333333333333333,0.4714045207910317,14.9,0.0,4.966666666666667,7.023927359786372
10110012.0,1.0,0.0,0.3333333333333333,0.4714045207910317,2.5,0.0,0.8333333333333334,1.178511301977579
10110016.0,1.0,0.0,0.3333333333333333,0.4714045207910317,6.5,0.0,2.1666666666666665,3.0641293851417064
10110017.0,6.0,4.0,4.666666666666667,0.9428090415820634,17.4,11.6,13.533333333333333,2.7341462205879834
10110025.0,1.0,1.0,0.6666666666666666,0.4714045207910317,7.6,5.99,4.53,3.269933740409225
10110034.0,1.0,0.0,0.3333333333333333,0.4714045207910317,6.5,0.0,2.1666666666666665,3.064129385141706
10111000.0,2.0,0.0,0.6666666666666666,0.9428090415820634,13.6,0.0,4.533333333333333,6.41110148275803
10111002.0,2.0,1.0,1.0,0.816496580927726,8.0,4.0,4.0,3.265986323710904
10112003.0,1.0,0.0,0.3333333333333333,0.4714045207910317,8.2,0.0,2.733333333333333,3.8655170704864594
10112004.0,3.0,0.0,1.0,1.4142135623730951,17.700000000000006,0.0,5.900000000000002,8.343860018001264
10112005.0,1.0,0.0,0.3333333333333333,0.4714045207910317,13.5,0.0,4.5,6.363961030678928
10112014.0,1.0,0.0,0.3333333333333333,0.4714045207910317,3.9,0.0,1.3,1.8384776310850233
10112019.0,1.0,0.0,0.3333333333333333,0.4714045207910317,7.9,0.0,2.6333333333333333,3.7240957142491506
10113000.0,1.0,0.0,0.3333333333333333,0.4714045207910317,4.5,0.0,1.5,2.1213203435596424
10113005.0,1.0,0.0,0.3333333333333333,0.4714045207910317,2.9,0.0,0.9666666666666667,1.3670731102939917
10113006.0,1.0,1.0,0.6666666666666666,0.4714045207910317,6.9,6.9,4.6000000000000005,3.2526911934581184
10113007.0,2.0,2.0,1.3333333333333333,0.9428090415820634,5.8,5.8,3.8666666666666667,2.7341462205879834
10113009.0,1.0,0.0,0.3333333333333333,0.4714045207910317,6.8,0.0,2.2666666666666666,3.205550741379015
10113012.0,1.0,0.0,0.3333333333333333,0.4714045207910317,7.9,0.0,2.6333333333333333,3.7240957142491506
10114000.0,1.0,0.0,0.3333333333333333,0.4714045207910317,4.5,0.0,1.5,2.1213203435596424
10114004.0,1.0,1.0,1.0,0.0,2.5,2.5,2.5,0.0
10116000.0,4.0,1.0,2.0,1.4142135623730951,18.0,4.5,9.0,6.363961030678928
10116003.0,1.0,0.0,0.3333333333333333,0.4714045207910317,12.0,0.0,4.0,5.656854249492381
10116008.0,1.0,0.0,0.3333333333333333,0.4714045207910317,5.0,0.0,1.6666666666666667,2.357022603955158
10116021.0,1.0,0.0,0.3333333333333333,0.4714045207910317,7.8,0.0,2.6,3.6769552621700465
10116022.0,1.0,0.0,0.3333333333333333,0.4714045207910317,7.8,0.0,2.6,3.6769552621700465
10116032.0,3.0,1.0,1.3333333333333333,1.247219128924647,7.800000000000002,2.6,3.4666666666666672,3.242769735204083
10116034.0,1.0,0.0,0.3333333333333333,0.4714045207910317,7.8,0.0,2.6,3.6769552621700465
10116039.0,3.0,2.0,1.6666666666666667,1.247219128924647,19.5,13.0,10.833333333333334,8.106924338010206
10116045.0,1.0,0.0,0.3333333333333333,0.4714045207910317,7.9,0.0,2.6333333333333333,3.7240957142491506
10117000.0,3.0,1.0,1.3333333333333333,1.247219128924647,7.5,2.5,3.3333333333333335,3.1180478223116177
10119001.0,1.0,0.0,0.3333333333333333,0.4714045207910317,5.9,0.0,1.9666666666666668,2.781286672667087
10119006.0,1.0,0.0,0.3333333333333333,0.4714045207910317,3.5,0.0,1.1666666666666667,1.6499158227686108
10119008.0,1.0,0.0,0.3333333333333333,0.4714045207910317,5.0,0.0,1.6666666666666667,2.357022603955158
10119011.0,2.0,0.0,0.6666666666666666,0.9428090415820634,13.6,0.0,4.533333333333333,6.41110148275803
10119013.0,1.0,0.0,0.3333333333333333,0.4714045207910317,6.8,0.0,2.2666666666666666,3.205550741379015
10119020.0,1.0,0.0,0.3333333333333333,0.4714045207910317,12.8,0.0,4.266666666666667,6.033977866125206
10119024.0,1.0,0.0,0.3333333333333333,0.4714045207910317,5.5,0.0,1.8333333333333333,2.592724864350674
